txn_id,category,sales_amount,qty,sale_date
15,Appliances,68.81,5,11/22/2015
16,Binders,2.544,3,11/22/2015
17,Storage,665.88,6,11/11/2014
22,Art,19.46,7,12/9/2016
23,Appliances,60.34,7,12/9/2016
35,Paper,29.472,3,10/19/2017
36,Phones,1097.544,7,12/8/2016
37,Furnishings,190.92,5,12/8/2016
38,Envelopes,113.328,9,12/27/2015
39,Bookcases,532.3992,3,12/27/2015
40,Chairs,,3,12/27/2015
41,Phones,371.168,4,12/27/2015
42,Phones,147.168,4,9/10/2017
45,Accessories,45.98,2,3/11/2016
46,Binders,17.46,2,3/11/2016
47,Storage,211.96,4,10/20/2014
50,Binders,38.22,6,4/18/2015
51,Labels,75.18,6,4/18/2015
52,Furnishings,6.16,2,4/18/2015
53,Chairs,89.99,1,4/18/2015
67,Chairs,213.115,5,4/30/2015
72,Paper,19.05,3,9/14/2017
76,Binders,1.248,3,12/9/2017
77,Furnishings,9.708,3,12/9/2017
78,Storage,27.24,3,12/9/2017
79,Furnishings,19.3,5,11/26/2014
85,Storage,230.376,3,11/13/2017
87,Accessories,19.99,1,10/26/2017
88,Labels,6.16,2,10/26/2017
89,Storage,158.368,7,4/5/2016
93,Paper,-15.5,2,1/31/2015
94,Furnishings,53.34,3,1/31/2015
95,Binders,32.96,2,1/31/2015
99,Appliances,77.88,6,9/6/2016
100,Paper,64.624,7,8/29/2016
101,Accessories,95.976,3,8/29/2016
102,Binders,1.788,3,8/29/2016
103,Paper,23.92,4,12/1/2016
110,Accessories,339.96,5,10/15/2015
112,Art,75.96,2,11/3/2016
113,Binders,,6,11/3/2016
125,Chairs,600.558,3,12/26/2014
126,Tables,617.7,6,9/20/2014
145,Appliances,839.43,3,12/22/2017
148,Phones,384.45,11,12/5/2016
149,Phones,149.97,3,12/5/2016
150,Chairs,1951.84,8,12/5/2016
151,Binders,171.55,5,12/5/2016
159,Labels,14.62,2,11/20/2016
160,Phones,944.93,7,11/20/2016
165,Art,9.936,3,9/8/2014
166,Machines,8159.952,8,9/8/2014
167,Storage,275.928,3,9/8/2014
168,Chairs,1740.06,9,9/8/2014
169,Art,32.064,6,9/8/2014
170,Appliances,177.98,5,9/8/2014
171,Phones,143.976,3,9/8/2014
175,Appliances,52.448,2,9/14/2014
176,Labels,20.16,4,9/14/2014
177,Appliances,97.264,4,4/21/2017
181,Storage,24.816,2,12/5/2014
182,Accessories,408.744,7,12/5/2014
188,Storage,37.224,3,7/16/2016
189,Paper,20.016,3,7/16/2016
204,Appliances,66.284,2,12/17/2017
207,Storage,83.92,4,12/1/2017
208,Phones,131.98,2,12/1/2017
209,Binders,15.92,4,12/1/2017
210,Fasteners,52.29,9,12/1/2017
211,Storage,91.99,1,12/1/2017
212,Accessories,20.8,2,2/9/2015
226,Art,2.2,1,8/9/2015
227,Tables,622.45,5,8/9/2015
228,Storage,21.98,1,8/9/2015
238,Paper,25.92,5,6/4/2016
239,Furnishings,419.68,5,6/4/2016
240,Furnishings,11.688,3,6/4/2016
241,Phones,31.984,2,6/4/2016
242,Tables,177.225,5,6/4/2016
243,Furnishings,4.044,3,6/4/2016
244,Art,7.408,2,6/4/2016
245,Chairs,2001.86,7,6/1/2014
246,Storage,166.72,2,6/1/2014
247,Paper,47.88,6,6/1/2014
248,Appliances,1503.25,5,6/1/2014
249,Paper,25.92,4,6/1/2014
255,Furnishings,12.132,9,11/28/2015
256,Storage,82.368,2,11/28/2015
257,Storage,53.92,5,11/28/2015
258,Phones,647.904,6,11/28/2015
262,Appliances,1.624,2,6/8/2017
263,Machines,3059.982,3,9/19/2014
264,Machines,2519.958,7,9/19/2014
265,Phones,328.224,4,6/6/2016
281,Binders,2.08,5,9/26/2015
282,Phones,1114.4,7,9/26/2015
304,Tables,219.075,3,11/19/2017
306,Art,9.84,3,12/30/2014
345,Storage,88.8,4,12/20/2015
371,Paper,25.92,5,5/29/2017
372,Storage,53.424,3,5/29/2017
377,Paper,99.136,4,9/28/2016
379,Appliances,8.652,3,4/28/2015
380,Storage,23.832,3,4/28/2015
381,Binders,12.176,4,4/28/2015
384,Accessories,41.9,2,6/26/2015
394,Binders,12.462,3,6/7/2014
398,Supplies,70.12,4,10/31/2015
399,Storage,35.952,3,9/8/2016
400,Bookcases,2396.2656,4,9/8/2016
401,Storage,131.136,4,9/8/2016
402,Accessories,57.584,2,9/8/2016
426,Furnishings,28.4,2,11/23/2017
427,Binders,287.92,8,11/23/2017
