internal_code,sales_amount,customer_notes,shipping_comment,txn_id,sub_category,processed_by
1215,28.00,Grow sort answer summer.,He team every by.,6054,furnishings,Michelle
5814, 22.704 ,Article show detail walk mind since.,Hot service above trouble cut try.,221, Paper ,Gary
1687, 122.382 ,Rather fish physical.,Between low pretty share.,9879, Phones ,Christopher
3074,11.52,Admit must director eight there.,Local girl PM accept.,6415,Binders,Nicole
2427," $2,621.32 ",Office before present keep see in value.,Economy somebody parent set full.,9057,chairs,Rachel
9767,10.27,Would huge fight week.,All detail our church star.,3877, Paper,Robert
6806, 1552.831 ,Exist record more expert.,Study this interview rule.,2354, Bookcases ,Kathryn
2675,16.68,Letter home almost decade rise foreign.,Around sound though property low.,2399,Art ,Diane
8898,137.24,Effect capital edge pull family plan.,Series drop which interesting card.,3928,BINDERS,Sheryl
2801,62.30,Prove room tough environmental ground trip too.,Lawyer feel take for.,5444,binders,Isabel
2628, $35.88 ,Country subject mission upon room author.,Mrs though simple.,7818,PAPER,Travis
9052,483.14,Not man wish step.,Ask discuss no professional its arm.,1524,chairs,Sherri
8194,887.27,Kid produce total institution action.,Not serve our century.,7594, Chairs ,Michelle
5048,USD 451.14,Issue explain difficult final address open.,Age visit life body employee tend.,2472,Bookcases,Ashley
4444, 18.936 ,Partner true those hair good.,Order student dog it interview.,7849,storage,Sara
6991, 9.99 ,Right building ball girl tree.,Special successful each.,1163, Phones,Mary
8516,20.74,Also dog again wrong almost something if.,Stand put catch.,590,PAPER,Andrea
1748, $7.43 ,Room before market my certain.,Project tax response research.,2850, Binders ,John
4533,USD 6.63,Maybe message here other capital common discuss.,Send my almost get avoid front.,157,Art ,Gabriel
2617, 12.96 ,Friend enter big spend.,Over paper shake police.,93,paper,Daniel
8462,N/A,Pay identify could evidence camera our.,View develop either picture good.,3600,phones,Angela
3085,182.91,Answer today likely force natural.,Ability glass order real defense.,5253,appliances,Daniel
5470,4.99,Around catch it thank.,Possible level coach number hair.,8022, Appliances ,Douglas
2123,USD 418.80,Trouble off avoid ok third.,Eat party eat carry top.,3511,machines,Kristin
3820,USD 9892.74,Song around we vote.,Audience guess first meet bill air.,9040,Binders ,Laura
1710, $68.70 ,Side great me culture big.,Floor certain possible every.,6659,Furnishings ,Eric
8375,6.67,President field I candidate home go heart like.,Federal play at manager.,1603,art,Denise
2085,USD 18.84,Away student window north natural mean.,Should rest in the.,4950,Furnishings,Laura
9669, 33.792 ,Choice end form mention business full.,Western recently attack politics year.,2825,PAPER,Sharon
1100,USD 7.86,Thought weight part institution realize than.,Avoid benefit out stay born give staff.,2388,fasteners,Brenda
1702,14.88,One story among interest determine artist skill color.,Five avoid away figure.,4926,Art,Dawn
8905,USD 449.10,Thing when identify your.,Market dinner recent term address.,7423,Machines ,Miguel
7881, 13.48 ,Doctor number grow most city success house.,Minute able our glass shake.,883, Art,Gina
1135,2591.56,Us study establish structure compare car.,Ball family determine fact political.,3987,STORAGE,Anna
9536,4.61,Set case center apply concern present free our.,Bad father clearly reflect kid mission.,8354,LABELS,Jacqueline
2860,USD 40.10,It country century campaign meet.,List near purpose pattern.,114, Fasteners,Noah
6695,USD 283.14,Yet idea pick skill including economic.,Technology real management.,4672, Appliances ,Edwin
1309,261.96,Organization ask person eight catch art remember.,Smile way different road.,6463, Chairs,Michelle
1229,520.46,Everybody themselves exactly major.,Result middle next year let they.,9353,chairs,Sara
8872,USD 33.57,Most traditional evening.,Left modern affect city.,3853,binders,Caitlin
3526,106.96,Lay perhaps wife.,Explain paper other official.,7755,Appliances ,Rachel
9481,USD 254.97,Reduce wife story discuss most.,Fine certainly west goal.,6867,accessories,Dean
7003,USD 5.98,Nice child test.,Green dream time police edge scientist.,276, Art ,Adrienne
8600, $3.91 ,Space four team fall.,Reality exactly out people young.,4303,ART,Antonio
5234,1103.97,Former court good south woman consider behind.,Television garden during idea.,4284,BINDERS,Corey
