product_category,txn_id,customer_notes,shipping_comment,processed_by,revenue,internal_code
Phones ,1625,About area hotel morning wait choice let open.,Scientist husband owner seem.,Justin, $675.96 ,5050
 Accessories,3461,Wall agent same commercial write then.,Cut avoid kid your.,Emily, $47.98 ,9014
CHAIRS,1447,Right car bad everyone strategy.,Investment music better news easy.,Ryan,missing,3824
paper,2267,After turn fund itself special.,Table economic exactly hair pay level.,Megan, 7.968 ,1239
Phones ,9918,Letter represent in probably stuff health.,These discuss experience voice use.,Wayne," $1,007.94 ",1266
Accessories,4506,Sister stand positive hundred entire surface manager else.,Plant sing cold ago guy.,Sydney,USD 62.85,4388
 Binders,2513,Four politics development read center anyone.,Full determine seek wonder concern.,Jonathan,USD 45.66,9604
Fasteners,3566,Defense card hotel left this answer.,Modern gas against.,Julie, 3.96 ,7097
 Storage ,6278,Your ball list group.,Risk half suggest a really consider.,Mike, $69.52 ,6034
Phones,2896,Article force green play.,Position reach foot.,Timothy,35.88,8080
PHONES,8219,Recently outside sea let whole television.,Upon discover factor nice.,Dominic,469.95,9151
envelopes,6824,Learn list somebody think how.,Son specific whether myself he number.,Richard,98.46,2369
 Binders,9716,Condition production to field class.,Ground free upon nor computer agree.,Samantha,USD 57.58,7250
 Supplies ,1189,Popular finally whose charge cut.,Indeed big return race left those.,Tiffany,185.38,2500
 Art ,7729,Thought central season factor heavy plant peace.,Light explain nature final small.,Bernard,USD 17.86,8464
Paper ,9167,Various ability about indicate do.,Decide serious evidence can newspaper.,Robert,104.85,7296
Art,112,Month both sound class happen which suggest.,Television get likely hour need.,Matthew, $75.96 ,5376
chairs,8903,A much visit almost.,Community parent manager challenge.,Jennifer,USD 191.08,7786
 Phones ,2234,In provide clearly practice base sit.,Want hope clear anything.,Claudia,319.97,2473
Storage,5061,Area avoid Democrat.,Other different never significant.,Emily, $584.82 ,2414
furnishings,8652,Act question open system do history.,Describe center the today.,Gregory, 14.19 ,8012
paper,8568,Special something process decision.,Interest share instead these.,Jessica, 31.104 ,4070
 Binders,3297,Here this wonder production federal.,Paper year lose talk difference other.,James, $19.19 ,5233
Envelopes ,6560,Eye operation drug argue role establish.,A remain culture me.,Regina, 419.9 ,1410
STORAGE,3445,Attack read financial indeed hold.,Little people speak.,Alejandra,84.78,6936
Storage,4656,Fund ok once different prevent cultural manage.,Put house born institution.,Phillip, $45.25 ,6710
furnishings,6762,Challenge ready rate street.,Room thousand gas scientist.,Beverly, $20.10 ,6837
paper,2939,Her debate bill can probably hundred.,Exist bad article mean.,Megan,USD 189.70,8733
 Appliances,8774,Still individual need investment eight example.,North he not between claim lawyer.,Jesse,26.88,8740
Binders,9410,Firm seem job chance personal contain health.,Fall father behavior issue.,Kimberly,USD 3.27,8472
Phones ,7597,Career church section tough bad.,Network table necessary quite and.,Steven,225.58,3175
SUPPLIES,5709,Allow within life last force impact whole another.,Career figure week more.,Calvin,357.93,7372
PHONES,975,Blood position safe.,Own teacher rich set.,David,160.93,1608
Storage,9128,Decision go top actually meet example.,Address available different figure.,Melissa,USD 50.14,8153
appliances,638,Common majority sea will.,Democrat husband little card which.,Michael,122.33,4669
chairs,158,Front special include write fire use.,Trouble suggest scene low three.,Christopher, 457.568 ,1241
Accessories ,1962,Throughout focus serious behavior.,Month guess grow whom culture.,Matthew,112.80,7042
 Art,9251,International he notice note alone study.,Article finally water usually will.,James, $57.75 ,5912
Paper ,6045,Each eat material want large.,Responsibility a summer girl.,Jennifer,27.89,7168
 Envelopes ,4260,Scientist building their prevent end according.,It local late town open near form.,Elizabeth,USD 47.98,9722
LABELS,5390,Over within public four eat decision.,Deal compare own voice much history.,Sarah,9.82,9159
BINDERS,6557,When section top cultural prepare take.,Civil visit fill green near century.,Anthony,8.68,4513
 Binders ,6567,How east news those first.,Check establish range despite.,Louis,243.99,2711
Appliances,3181,Employee writer sea town indicate space sell.,Decision cost Mrs notice increase.,Joseph,254.90,8539
Phones ,6795,Buy opportunity mention.,Recent do we role.,Alicia,239.98,7601
Storage,8128,Method enjoy make end short.,Show medical skin moment.,Brenda,670.75,1496
storage,5850,Garden none similar degree success live suggest.,Turn sound reduce say mean deal.,Amanda,USD 795.51,4195
 Furnishings,2884,Time operation claim.,Simply truth look phone until.,Nicholas, $6.96 ,6247
FURNISHINGS,6032,Those set affect approach page.,Read professor success actually.,Willie,21.12,8645
FASTENERS,9363,Radio suggest collection though.,Movie throw structure yeah gun.,Frank, 13.02 ,2731
ACCESSORIES,6385,Place about citizen teach few.,So tree agent.,Robin, 47.984 ,4536
Labels,2038,Result research time common know player.,Professor although require.,Timothy,USD 14.62,6080
accessories,2573,And upon think like test.,Work wait where summer.,Kathleen," $1,399.94 ",8605
STORAGE,8675,We always available general sister develop let.,Us value plant charge.,Wayne,USD 50.35,9747
STORAGE,2313,All building high pressure fight.,Road leader page it lose sing.,Randy,USD 215.59,5156
FURNISHINGS,7288,Statement learn probably run develop car several though.,He various be step play.,Lisa, 57.69 ,3702
paper,247,Reality forget hit affect newspaper need.,Language building recent speech weight.,Robert,47.88,4487
Phones ,4080,Report dog TV always first unit bag.,Than evening civil.,Cheryl,494.38,2694
phones,5595,Member new deep strategy subject meet.,Significant happy yourself live.,Jasmine, $391.98 ,7614
ENVELOPES,7651,Respond teacher Mr discussion common.,Top instead sport break model police.,Michelle,19.87,3809
accessories,9002,Than ability position send prevent.,Hotel class perhaps rather which.,Michael,USD 5.95,8451
 Paper,5682,Present side article director learn kid none.,Important them radio fly beat image.,Kylie, $6.48 ,7081
Binders,7008,Nothing full between quite.,Each test safe decade.,Philip,USD 12.83,5533
appliances,2767,At medical word idea.,Executive task my new.,Christian,34.38,5950
phones,206,Station Congress almost performance tough.,Early upon in.,Allen,USD 444.77,6171
