subcategory,shipping_comment,record_id,internal_code,processed_by,usd_amount,customer_notes
 Labels,Both prevent class task.,7926,2851,Melissa,103.60,Seat above fast yes system admit account.
 Storage,Station police all heavy father.,9260,2649,Ashley,USD 64.96,Especially up democratic against firm dog.
Furnishings,Hour worker degree any alone so.,3077,4933,Melissa,16.74,Should note provide member individual low.
Machines ,Pm ahead husband write expect others.,4645,7820,Anthony,558.40,Store major role key size.
 Binders ,Way subject I up.,7267,2584,Jeffrey,USD 13.43,Information character case space none tough option physical.
 Storage ,Never let especially.,5061,9145,Benjamin,USD 584.82,Feeling describe accept any guy drop.
machines,Middle throw the sell garden forget.,7238,4061,Matthew, 341.991 ,Direction cover rest strategy big former.
Chairs ,Peace like mean no hand.,3916,9596,Michelle,USD 161.57,Close main firm front tax service.
Tables,Customer player own capital.,8305,7477,Wesley, 486.368 ,Occur mouth lawyer shoulder entire produce matter.
binders,Far act base. Speech enough check very.,2091,1115,Wayne,USD 26.55,Share send better full alone.
furnishings,The always create Mr sure practice.,4206,2853,Amy,USD 14.76,Interesting especially result stuff from project.
 Phones ,Theory through dinner.,8714,4603,Heather, 71.952 ,Sign soon realize age.
Furnishings,Data development want.,4667,3369,Frank, $79.92 ,Learn threat few free record produce.
Tables,Marriage capital community just white.,385,1881,Sandra,375.46,Oil easy understand today senior week century.
 Accessories,Piece institution under artist.,7652,6640,Emily,108.77,Politics officer visit manager dark work.
furnishings,Main possible quality into fall.,6372,6366,Matthew, $83.92 ,Describe rather recently design win.
Binders,Sell up station than.,3765,9581,Jacqueline,1.79,Accept far under building court almost tonight oil.
Storage ,Book deep stay federal news.,17,7925,Keith,665.88,Into eight development let.
furnishings,Experience produce station partner.,5462,3200,Megan,USD 9.24,Effect according book cultural force arrive.
binders,Various media most then hundred.,8874,9648,Ashley, $18.26 ,Month sell above keep already.
storage,Truth by above.,1221,4271,Stacey, 249.75 ,Image catch prove house perform defense.
paper,Organization rather reason.,8995,4213,Christopher,91.36,No agent change manage least.
 Tables,Glass choice natural far street other.,2568,2909,Donna,missing,Field peace happy dinner might.
FURNISHINGS,Possible business over allow.,9125,1067,Danielle,USD 9.55,Yeah daughter suffer election.
Chairs ,Democratic lot note business.,7304,9452,Kevin,97.18,Yourself onto step position stand cup.
Paper,Feeling image understand Democrat east.,645,6225,Jason, 6.48 ,Month environment physical its Congress smile choice pattern.
Supplies ,If notice may. Suffer during light.,6621,7542,Duane,N/A,Commercial positive society participant dark only defense water.
 Paper,Use name project especially.,7119,8442,Donna,17.94,Participant dinner son maybe.
APPLIANCES,Everything deep dog letter and civil.,4997,5027,Andrea,48.78,Agreement night movement bag their TV not.
Paper ,Budget call there support summer short.,9966,5439,Robert,4.98,Single section common hand.
machines,Key do receive run.,4030,2557,Edwin,479.97,Another along write research.
Fasteners,What accept point.,1109,9274,Julie, 58.368 ,Majority point final shake.
 Phones,Arm material fish ok.,5129,9796,Rachel,16.99,Significant range someone our choose speech range account.
Binders ,Walk send meet pull low machine easy.,6596,1555,Larry, $11.76 ,So possible end particular.
 Art,General us new travel.,3767,6674,Michelle, $1.34 ,Form some visit education open.
art,Offer support win reduce everyone.,4891,8104,Amy,USD 8.82,Gun my amount friend onto back financial.
CHAIRS,Address west apply Republican eat left.,5168,9429,Michael,563.94,Crime truth traditional fall find actually.
Phones ,Home popular cost budget also.,2934,4504,Tracy, $156.79 ,Way agree get wear reflect.
Binders ,Hold attention compare seem court.,7553,4603,Lance,USD 12.96,Charge tree structure reach.
Storage,Body manage practice.,9552,6502,Julie, 577.584 ,Partner mouth scientist economic.
PHONES,Home response ball certain.,8595,8615,Robert, 499.168 ,Tree bag start give family purpose.
copiers,Establish increase man affect.,5773,6350,Alexa, 599.99 ,Likely top lawyer star six while.
 Phones ,General tonight become if.,6218,9279,John,29.97,Dog everything prepare build just interesting cost.
furnishings,Concern rate call a.,3982,6010,Daniel,22.77,Agreement take box let economy beyond window.
 Paper,Fact little back whom.,9172,7688,Andrew, 47.9 ,Remain there government way significant impact.
PHONES,Former which threat enough meeting.,4391,9949,Rebecca,1259.97,Continue successful up red.
binders,Collection indeed several avoid peace.,2120,8287,Austin,895.92,Although term executive cell.
 Accessories,Million age people rich practice class.,2762,6987,Craig, $0.99 ,On everybody address hundred enter shake.
Binders,Director tax loss.,7540,5482,Christine, 36.624 ,Book middle husband example organization movement.
Paper ,Bed various from someone partner list.,7469,6228,Nicholas,14.94,Chair even consumer you its hundred memory fly.
Accessories ,Lawyer police forget leader keep.,5450,4427,Shirley,USD 57.40,Seem that plan car left.
furnishings,Well great necessary program.,5270,4549,Mark, $32.36 ,Necessary necessary have focus write employee recently common.
PAPER,Fund tough learn think open.,6618,2664,David,219.84,Final peace western spring.
 Binders ,Food open nothing new and.,3218,1184,Christopher,931.18,Along director surface choose get court physical.
tables,Government above front which fear.,6134,6789,Dana,USD 161.28,Herself knowledge matter around surface brother simple.
paper,Writer big simply win movie he leg.,1791,3507,Nathan,48.94,Of rest continue especially be.
PHONES,Then mission land big not sell style.,3779,9436,Jill, 71.976 ,Happen year certainly north science interview.
BINDERS,Walk impact really.,6874,1629,Steven,USD 10.78,Should may wait rate whole watch.
 Phones,Expect popular audience lot.,4772,5476,Glenn,742.34,Reason loss receive all movie box.
paper,Game per material interview.,6979,2252,Amy,48.87,Concern hair vote thank more look region always.
