transaction_id,product_category,revenue,units,date
24,Chairs,71.372,2,7/16/2017
28,Bookcases,3083.43,7,9/17/2015
29,Binders,9.618,2,9/17/2015
30,Furnishings,124.2,3,9/17/2015
31,Envelopes,3.264,2,9/17/2015
32,Art,86.304,6,9/17/2015
33,Binders,6.858,6,9/17/2015
34,Art,15.76,2,9/17/2015
48,Accessories,45.0,3,6/20/2016
49,Phones,21.8,2,6/20/2016
54,Fasteners,15.26,7,12/11/2016
55,Phones,1029.95,5,12/11/2016
56,Storage,208.56,6,6/17/2016
57,Paper,32.4,5,6/17/2016
58,Chairs,319.41,5,6/17/2016
59,Paper,14.56,2,6/17/2016
60,Accessories,30.0,2,6/17/2016
61,Binders,48.48,4,6/17/2016
62,Art,1.68,1,6/17/2016
71,Binders,4.616,1,9/18/2016
97,Furnishings,96.53,7,11/9/2017
111,Furnishings,41.96,2,12/25/2017
114,Fasteners,40.096,14,8/25/2014
115,Envelopes,4.72,2,8/25/2014
116,Paper,23.976,3,8/25/2014
117,Envelopes,130.464,6,8/25/2014
120,Furnishings,47.04,3,6/12/2016
121,Binders,30.84,4,6/12/2016
122,Storage,226.56,6,6/12/2016
123,Envelopes,115.02,9,6/12/2016
124,Phones,68.04,7,6/12/2016
131,Phones,59.97,5,2/2/2017
132,Paper,78.304,2,2/2/2017
133,Fasteners,21.456,9,2/2/2017
141,Furnishings,82.8,2,9/5/2016
147,Furnishings,93.888,4,10/22/2014
162,Accessories,54.384,2,12/28/2015
178,Chairs,396.802,7,11/21/2015
179,Supplies,15.88,5,11/21/2015
180,Art,,1,12/15/2015
186,Binders,7.16,2,11/28/2016
190,Bookcases,899.136,4,10/12/2015
191,Phones,71.76,6,10/12/2015
192,Paper,51.84,8,10/12/2015
193,Bookcases,626.352,3,10/12/2015
194,Art,19.9,5,10/12/2015
196,Art,7.408,2,3/21/2014
197,Art,6.048,3,3/21/2014
198,Storage,46.26,3,11/6/2017
199,Binders,2.946,2,7/6/2017
200,Paper,16.056,3,7/6/2017
201,Paper,21.744,3,6/24/2017
213,Labels,23.68,2,1/2/2015
214,Bookcases,452.45,5,1/2/2015
215,Phones,62.982,3,1/2/2015
216,Machines,1188.0,9,1/2/2015
217,Accessories,89.584,2,1/2/2015
220,Fasteners,5.584,2,12/24/2015
221,Paper,22.704,6,12/24/2015
222,Binders,19.776,4,12/24/2015
223,Furnishings,72.704,4,12/24/2015
224,Machines,479.988,4,12/24/2015
225,Art,27.168,2,12/24/2015
253,Storage,80.58,6,12/10/2016
254,Envelopes,361.92,4,12/10/2016
259,Accessories,20.37,3,12/1/2017
260,Storage,221.55,3,12/1/2017
261,Binders,17.52,5,12/1/2017
268,Fasteners,7.56,6,1/22/2016
269,Storage,37.208,1,12/9/2017
270,Envelopes,57.576,3,12/9/2017
277,Paper,11.648,2,10/13/2017
278,Paper,18.176,4,10/13/2017
279,Storage,59.712,6,10/13/2017
280,Labels,24.84,3,10/13/2017
290,Fasteners,19.096,7,11/20/2016
291,Labels,18.496,8,11/20/2016
292,Accessories,255.984,2,11/20/2016
293,Bookcases,86.97,3,11/20/2016
299,Paper,32.4,5,10/28/2016
300,Storage,-9.99,8,10/28/2016
301,Paper,56.91,3,10/28/2016
302,Furnishings,77.6,4,10/28/2016
303,Binders,14.28,1,10/28/2016
305,Furnishings,26.8,2,5/4/2015
307,Binders,45.48,3,6/1/2014
308,Art,289.2,6,6/1/2014
314,Furnishings,87.54,3,9/27/2014
317,Art,99.136,4,12/28/2014
318,Chairs,135.882,1,11/4/2014
319,Machines,3991.98,2,11/4/2014
320,Phones,275.94,6,11/4/2014
321,Accessories,360.0,4,11/4/2014
322,Storage,43.57,1,11/4/2014
327,Phones,290.898,3,8/30/2016
328,Storage,54.224,2,8/30/2016
329,Chairs,786.744,4,8/30/2016
330,Labels,100.24,10,8/30/2016
331,Binders,37.764,6,8/30/2016
332,Phones,82.8,2,4/25/2016
333,Binders,20.724,2,4/25/2016
334,Binders,4.896,3,4/25/2016
341,Art,17.856,4,4/13/2014
342,Binders,509.97,10,4/13/2014
343,Fasteners,30.992,13,4/13/2014
344,Phones,71.928,12,4/13/2014
347,Art,7.56,3,7/8/2017
348,Paper,24.56,2,7/8/2017
349,Art,12.96,2,7/8/2017
350,Accessories,6.79,1,9/1/2016
351,Paper,24.56,2,9/1/2016
352,Binders,3.048,1,9/1/2016
353,Paper,49.12,4,9/1/2016
354,Binders,4355.168,4,9/1/2016
355,Bookcases,388.704,6,4/8/2016
356,Envelopes,8.26,2,4/8/2016
357,Art,17.04,4,4/8/2016
358,Paper,34.4,5,4/8/2016
362,Labels,20.7,2,9/25/2017
363,Chairs,488.646,3,9/25/2017
364,Art,5.56,2,9/25/2017
365,Furnishings,47.12,8,9/25/2017
367,Binders,23.2,4,10/21/2016
368,Supplies,7.36,2,10/21/2016
369,Storage,104.79,7,10/21/2016
370,Bookcases,1043.92,4,10/21/2016
378,Tables,1488.424,7,8/27/2017
387,Machines,482.34,4,12/3/2015
388,Furnishings,2.96,1,12/3/2015
389,Art,2.624,1,11/24/2014
390,Binders,23.36,4,12/11/2017
391,Accessories,39.98,2,12/11/2017
396,Storage,49.96,2,10/17/2017
397,Paper,12.96,2,10/17/2017
405,Appliances,35.91,3,12/24/2017
423,Furnishings,56.56,4,10/19/2017
424,Storage,32.7,3,10/19/2017
428,Machines,69.99,1,9/12/2014
434,Storage,714.3,5,6/6/2016
440,Chairs,207.846,3,1/20/2017
448,Art,59.52,3,4/1/2016
449,Storage,161.94,3,4/1/2016
450,Art,263.88,6,4/1/2016
451,Art,30.48,3,4/1/2016
452,Art,9.84,3,4/1/2016
453,Phones,35.12,4,4/1/2016
454,Tables,284.364,2,10/20/2017
455,Storage,665.408,2,10/20/2017
471,Paper,55.48,1,12/20/2015
479,Furnishings,40.2,3,10/27/2016
480,Art,-9.99,5,6/26/2016
481,Storage,704.25,5,6/26/2016
483,Art,5.96,2,7/22/2014
484,Accessories,159.98,2,7/22/2014
492,Storage,449.15,5,9/14/2014
493,Envelopes,11.07,3,9/14/2014
506,Binders,,5,11/12/2017
513,Art,7.152,3,10/20/2016
526,Fasteners,22.2,5,12/26/2015
529,Storage,36.336,3,9/3/2015
530,Supplies,666.248,1,9/3/2015
531,Envelopes,52.512,6,9/3/2015
538,Binders,10.752,4,12/3/2015
543,Storage,646.776,9,12/18/2015
547,Binders,41.28,6,11/19/2017
548,Paper,13.36,2,11/19/2017
571,Labels,72.45,7,12/28/2017
572,Fasteners,13.96,4,12/28/2017
573,Binders,33.264,7,12/28/2017
574,Phones,14.85,3,12/28/2017
599,Supplies,11.632,2,7/14/2016
600,Phones,143.982,3,7/16/2016
601,Phones,494.376,4,7/16/2016
602,Supplies,5.84,2,7/16/2016
608,Binders,3.282,2,5/23/2014
609,Art,21.168,9,5/23/2014
610,Phones,55.188,2,5/23/2014
613,Paper,8.448,2,9/11/2016
614,Phones,728.946,9,9/11/2016
615,Phones,119.94,10,11/14/2017
616,Binders,3.648,2,11/14/2017
617,Furnishings,40.48,2,8/18/2017
618,Furnishings,9.94,2,8/18/2017
619,Binders,107.424,9,8/18/2017
620,Phones,37.91,1,8/18/2017
621,Furnishings,88.02,3,8/18/2017
627,Furnishings,35.56,7,9/15/2017
645,Paper,6.48,1,7/21/2017
652,Paper,379.4,10,10/23/2016
653,Paper,97.82,2,6/19/2017
654,Accessories,103.12,8,6/19/2017
655,Appliances,113.552,2,8/22/2016
656,Binders,3.318,2,8/22/2016
657,Envelopes,134.288,2,8/22/2016
664,Storage,459.95,5,3/26/2016
669,Furnishings,30.36,5,12/24/2014
681,Binders,14.352,3,11/19/2016
682,Storage,64.96,2,11/19/2016
683,Storage,68.6,4,11/19/2016
689,Bookcases,191.984,2,12/25/2017
695,Art,198.272,8,5/14/2015
696,Labels,47.36,4,5/14/2015
697,Envelopes,200.984,7,5/14/2015
698,Labels,97.696,4,5/14/2015
699,Art,2.696,1,5/14/2015
700,Binders,18.588,2,5/14/2015
701,Binders,4.896,3,5/14/2015
702,Furnishings,15.072,3,9/2/2017
708,Accessories,119.96,4,12/2/2014
709,Bookcases,883.92,5,12/2/2014
710,Binders,46.72,8,12/2/2014
711,Paper,55.48,1,4/5/2014
713,Appliances,281.34,6,5/19/2017
714,Phones,307.98,2,5/19/2017
715,Accessories,299.97,3,5/19/2017
717,Furnishings,9.94,2,1/11/2014
718,Furnishings,103.056,3,9/24/2017
724,Furnishings,129.92,5,10/7/2014
728,Paper,182.72,8,12/3/2016
729,Tables,400.032,2,12/3/2016
730,Storage,33.63,3,12/3/2016
731,Chairs,542.646,3,12/3/2016
732,Labels,6.3,2,12/3/2016
759,Binders,13.128,3,7/23/2017
763,Phones,107.982,3,2/8/2015
777,Art,32.76,7,6/29/2014
782,Binders,32.07,5,10/3/2015
783,Accessories,24.0,2,10/3/2015
784,Bookcases,35.49,1,10/3/2015
785,Accessories,47.984,2,10/3/2015
797,Paper,132.79,7,12/24/2015
798,Paper,12.96,2,12/24/2015
799,Labels,21.56,7,12/24/2015
803,Appliances,355.32,9,8/18/2016
817,Paper,5.344,1,9/15/2016
818,Paper,41.472,8,6/28/2014
819,Binders,3.168,3,6/28/2014
820,Chairs,1228.465,5,6/28/2014
821,Binders,31.086,3,6/28/2014
822,Paper,335.52,4,6/28/2014
823,Accessories,239.97,3,6/20/2017
824,Labels,9.82,2,6/20/2017
840,Art,60.45,3,11/20/2015
841,Art,11.52,4,11/20/2015
842,Bookcases,186.048,4,11/20/2015
849,Furnishings,48.896,4,1/1/2017
850,Accessories,115.36,7,2/7/2014
854,Furnishings,44.46,2,2/19/2016
855,Storage,242.94,3,2/19/2016
856,Paper,39.96,2,8/3/2014
857,Supplies,102.3,10,8/3/2014
858,Storage,21.36,2,8/3/2014
859,Paper,7.61,1,4/10/2017
860,Fasteners,7.16,2,4/10/2017
868,Labels,15.936,4,9/29/2016
869,Binders,44.91,6,4/6/2014
870,Binders,1141.47,5,9/3/2016
871,Phones,280.782,3,9/3/2016
872,Paper,34.44,3,10/19/2015
873,Paper,11.36,2,12/10/2014
874,Binders,106.344,7,12/10/2014
876,Furnishings,322.59,3,1/17/2016
877,Accessories,29.99,1,1/17/2016
878,Accessories,371.97,3,1/17/2016
879,Binders,5.892,4,9/17/2014
880,Binders,68.472,3,11/30/2017
881,Chairs,1242.9,5,11/30/2017
885,Furnishings,17.46,2,4/29/2014
888,Binders,37.66,7,10/14/2017
890,Accessories,149.95,5,6/20/2017
891,Binders,51.312,3,6/20/2017
899,Paper,46.96,8,10/29/2017
900,Binders,8.904,2,4/10/2016
907,Bookcases,323.136,4,12/30/2017
908,Phones,90.93,7,12/30/2017
909,Binders,52.776,3,12/30/2017
913,Furnishings,22.2,6,5/31/2015
922,Accessories,85.14,3,4/11/2015
923,Phones,21.99,1,4/11/2015
924,Appliances,406.6,5,4/11/2015
925,Binders,841.568,2,9/15/2016
926,Paper,15.552,3,9/13/2014
927,Accessories,252.0,5,9/13/2014
930,Art,14.592,3,4/14/2017
931,Art,89.856,3,4/14/2017
932,Paper,13.872,3,4/14/2017
933,Paper,12.192,3,9/2/2017
934,Paper,45.056,8,6/20/2016
935,Binders,29.718,6,6/20/2016
