processed_by,item_type,usd_amount,shipping_comment,internal_code,txn_id,customer_notes
Heather,APPLIANCES,58.92,Short positive health experience.,5648,8877,Case section reduce.
Cheryl, Appliances ,101.96,Check candidate decide.,4480,9157,Than understand science meet who.
Victor,ACCESSORIES,132.52,Site such realize later I.,3812,3497,Account accept detail area me pretty laugh over.
Olivia,CHAIRS,"2,803.92",Conference rise you item century.,2206,8237,Democrat billion quickly policy.
William, Labels, 427.42 ,Expect amount image easy.,7019,1430,It commercial employee serious thing.
Tonya,art,16.68,Line cell six help.,8936,2399,Article indeed ago leave site development.
Jeffrey,PHONES,"1,091.17",Suffer wife me late listen.,6670,3713,Want bag accept wonder box north team.
Emma,BOOKCASES, 349.965 ,Edge article method alone.,6322,1758,Simply song represent.
Ryan,fasteners, $19.60 ,Save bill six deal road garden.,3515,5457,Firm movement foreign because.
Luke,ENVELOPES, $48.94 ,Stage leg training represent.,2629,5689,Force ground ahead room fight ahead.
Robert,Paper,12.96,Government adult condition morning.,3805,906,Federal story budget success.
Edward,Furnishings ,17.50,Social become guess laugh drive.,9700,9776,Indicate surface others design Democrat contain education reach.
Kimberly,SUPPLIES,USD 28.40,Make important new trade hit rate.,2873,6941,Thing into box those movie hundred.
Ricky,Envelopes ,USD -45,Should home make save public ok.,1286,4379,Hope think environmental.
Kathy,PHONES,242.62,Become nation lot available popular.,3817,8256,Far morning street economy.
Beth, Tables ,USD 974.99,Western perform student.,8859,6439,Occur know future lose.
Sandra, Phones, $776.85 ,Accept boy spring third chance quality.,7117,7144,Nearly staff machine several give institution economic.
Anthony, Chairs,240.78,General yes class black walk.,7499,3869,Key office skill interest.
Tracey,storage,450.04,Whatever over assume among clearly on.,8039,7750,One summer form fire well.
Shari,Phones,USD 83.97,Red ago off hot.,1968,3063,Around concern yes.
Jo,PHONES,180.96,Writer choose think have worker.,3470,9139,Step culture challenge road.
Douglas, Binders,USD 551.99,Fire trip both wear great south throw.,5315,7045,Take example ever mean ready study.
Sandra,LABELS, $26.01 ,Cause easy example see send ok follow.,6168,7292,Among party save lose himself.
