product_category,sales_amount,customer_notes,processed_by,shipping_comment,internal_code,id
 Paper,USD 123.92,Card also actually laugh.,Nicole,Strong design building likely.,9666,5964
 Art ,140.75,Seem power thank list.,Carolyn,Surface song dog which.,2204,4629
 Phones,95.84,Imagine baby unit skin.,Beth,Religious which last single.,6873,4025
BINDERS,15.97,Film yourself per save Congress.,Jason,Federal radio suffer size choose tend.,1264,2062
paper,25.68,With feel assume school movement leave meeting hundred.,Rebecca,Face major catch raise.,7746,9040
 Paper,41.86,Walk against according far attack fine store.,Rachel,Our those song institution.,8015,7122
Tables,674.35,Team a everybody place big.,Steven,Above woman air.,2856,7191
 Phones, 52.99 ,Form great country nature game view traditional beat.,Caroline,Amount certain appear.,6859,2627
Binders,USD 25.82,Whose recognize mean lawyer.,Eric,Again movie official bad.,4768,3372
furnishings,23.56,Money worry TV number special first.,Nicholas,Leg strong those.,3832,463
 Accessories ,USD 16.36,Daughter interview song.,Steven,Seem lose majority bad.,5436,5358
LABELS,74.00,Member deep federal maintain generation eat stay.,Elizabeth,Future whatever agency prove.,9709,6464
phones,USD 246.17,Memory morning blue somebody eight answer get.,Kevin,Evidence star change fire enter.,7661,2590
paper,30.18,Who nothing how tax task race pretty.,Dwayne,Life listen fish direction cover.,7315,6982
envelopes, 24.4 ,Congress Democrat out station fear ability north.,Philip,Upon media coach store.,6362,5052
Supplies ,7.30,Change move effort open dark.,Timothy,Almost continue world outside.,8458,578
labels, $28.91 ,Hour majority can sign above kind eat.,Sydney,Before expect lay last.,6511,1477
 Binders , 4.536 ,Policy detail man.,Thomas,Hundred black own brother wall market.,7671,2040
 Art, $10.71 ,Expert church successful race vote economic also.,Cameron,My fire account responsibility.,6890,1932
Art ,2.62,Laugh born middle message.,Matthew,Feel discuss behind little industry.,1190,3596
ART,2.78,Figure management education consider get.,Samuel,Thousand detail use ten seem north.,7768,1562
 Phones ,USD 485.94,Charge special type.,Nicholas,Class either but age hand.,6124,2222
 Appliances, $663.94 ,Leader room much traditional any seven.,Hannah,Dinner study able pick long those.,7306,3070
Phones,USD 445.44,Board there window worker later country beyond.,William,Hour imagine prepare compare.,5987,7353
Furnishings ,19.30,Do popular despite from toward.,Eric,Interest identify response work speech.,4474,5738
STORAGE,15.78,Everyone guy require mention sound.,Julian,Myself sense look option per check.,4176,5359
phones, 271.96 ,Me single better gas finally.,Chelsey,Probably possible few develop lot.,5483,225
Chairs ," $1,268.82 ",Debate learn trade whole worker.,Emily,Which though about generation.,2683,4941
LABELS,missing,If score choice claim art.,Erika,Fund either learn among.,3594,7585
 Binders ,11.95,Modern hard begin quickly.,Sarah,Several result turn paper would sign.,8698,9181
 Labels , 14.94 ,Loss prepare six decide.,Margaret,Them seat weight stage teach race.,3451,6118
Storage,USD 1117.92,Leave himself say way.,Andrew,Yourself if reveal.,5833,2511
 Appliances , $122.33 ,Institution fight might off.,Jonathan,During agent perhaps food.,6404,638
 Art, 18.48 ,Nation Mrs where movie explain.,Tom,Energy adult foreign western notice.,8084,6029
Binders, 12.462 ,Across price president woman throughout.,Michelle,Them however trip wrong responsibility.,9421,394
 Binders , 196.704 ,Eight develop feeling international.,Barbara,Skin child war.,5697,6289
Phones,USD 438.34,Mother purpose challenge.,Cindy,Reason other not natural.,4296,1638
Storage , $54.50 ,Trade size sign responsibility avoid evening.,Donna,Base play more wonder.,5642,2772
