sale_id,category,customer_notes,processed_by,internal_code,revenue,shipping_comment
6077,Accessories,Beyond authority reach century ever though.,Matthew,3604,USD 468.90,Task size others beyond car doctor.
7031,Accessories,Long write purpose your.,Katherine,2613,36.00,Consumer her moment lawyer prove.
8462,STORAGE,Turn tonight TV appear appear away.,Zachary,5010,USD 95.94,Morning thing prevent time.
8355, Binders,Positive some ball serious.,Matthew,8236, 64.2 ,Federal because affect race.
9378,storage,Seek per behind sometimes fill.,Lisa,3134,USD 32.56,Sound southern relate for pattern new.
6113, Fasteners,Group attack drive knowledge open political so.,Jacob,2464, 16.752 ,Foreign time bill article.
1547,PAPER,Mission kid talk beat business structure sit would.,Tyrone,7540,335.52,Class take leg theory poor.
916,TABLES,Eat green Democrat especially really.,Roger,1402,USD 99.92,Window civil window again.
5135,BINDERS,Statement place pretty short bank beautiful teach.,Valerie,1979,USD 93.34,Thousand anything pattern indicate.
6457, Phones ,Here voice feel top court.,Kyle,4102,135.99,Visit fly imagine rather.
3389,Binders,Way reality measure subject performance.,Matthew,9910, $50.45 ,Election movie material huge.
5699,labels,Scene staff sell thus medical nature.,Brandy,3945, $11.84 ,Deep everyone citizen may guy.
2054,Furnishings ,Act middle morning speech become one out.,Erin,2324,USD 25.34,Must order easy move tough nation also.
6746,Art ,Choice front political box agree whether.,Melissa,9397, 23.92 ,History admit hold fight away guy by.
3163,Envelopes,Administration another gun issue.,Ryan,3088, 78.35 ,Phone suffer south budget prepare.
1109,FASTENERS,Painting structure part three land more.,Amy,2289,58.37,Begin success performance girl.
178,chairs,Guess old but left cost reality.,Kristi,9600,396.80,Down money page.
3166,Phones ,Common Republican often lead stand both.,Patrick,3845,-10,Although teach how oil war.
5813, Storage,Once life pattern camera garden.,Wayne,5014,USD 669.08,Rather former matter wish.
2769, Appliances ,Stock activity home occur doctor specific.,Catherine,7739,32.19,Not six meet.
3207,Furnishings,Lose condition task one.,Michael,5945, 53.2 ,Speech write way plan teach.
4424,Bookcases,Between win throughout appear day smile.,Joseph,9503,302.94,Particular seem herself read rest.
7003, Furnishings ,Bad best experience wide nice.,Charles,3078,USD 289.24,Lay color value exist.
7094, Paper ,Affect month according successful.,Kimberly,6606,INVALID,Total create measure reduce.
762,LABELS,Everybody western many.,Alyssa,9326,12.39,Sea produce see growth.
8066, Storage ,Picture together face fund.,Danielle,3586,USD 116.82,Time three strong nothing.
8260,Paper,Carry degree process great.,Brad,4048, $368.91 ,Sometimes Mrs during.
6039,Storage,Fact short face travel customer score college.,Jeremy,4706, $129.92 ,Both finally share.
3974, Binders ,Happen eye decade easy.,Daniel,1463,29.80,Less study discuss parent.
2233,Storage,Actually buy house edge.,Alexander,3990,USD 228.92,Walk throughout husband.
4264,Binders ,Executive author Congress so.,Brenda,1652,USD 11.67,Hot serve often work. By before white.
7827, Phones,Scientist information explain reach such final.,Richard,8751,USD 508.77,Coach degree take front television.
6796,Furnishings,Black tree suggest process whole until finally.,Benjamin,7867,34.50,Smile people standard.
1417,phones,Wife specific right try on.,Sarah,5401, $946.34 ,Information gun occur travel.
2440,FURNISHINGS,None cost ground sense democratic cover paper.,Stephanie,6123,7.90,Politics PM then walk career.
4069,Phones,Institution factor explain.,Lisa,8197,USD 978.84,Example official show expect my.
6011, Machines,Too long minute they large past national heart.,Brittany,7242, 2548.56 ,Wife my former later.
2356,furnishings,Somebody staff investment matter quality about.,John,6682,4.22,Office affect price indicate room.
2058, Accessories,Quickly south true cell soon glass size.,Samuel,7038,84.99,House image apply.
7756,PAPER,Fine actually life within spring dinner professor foreign.,Elizabeth,9695,268.24,Rule individual protect husband event.
4568,Chairs ,Down cell hundred space.,Kevin,9691, $181.99 ,Consumer information girl sit.
4345,Accessories,Test say through our two use.,Trevor,3826,99.54,Serious discuss wide as good teacher.
7560, Paper ,Pay owner attention system simply race.,Rachel,3649,167.94,Step fly happy smile decide.
9104,FURNISHINGS,Life show participant operation.,William,4097, 64.96 ,Time series serious.
9256, Labels ,Game among work thought company teacher.,John,3695,USD 14.94,Avoid forget short care marriage life.
8163,phones,Show agent herself analysis its.,Anna,9526, $307.98 ,Travel owner human behavior.
2158, Storage ,For southern stuff into us town nor.,Casey,8740,161.94,Former pressure support study see buy.
5942, Art ,Ground fill majority out five.,Kyle,2364,5.88,Foot sound stop benefit here.
2961,Paper,Before challenge her role deal support whatever such.,Daniel,3625,error,Similar if carry firm.
6827,COPIERS,Figure positive son win green.,James,5438,USD 17499.95,Chance ten yes arm military record old.
4929,CHAIRS,Military none herself everything.,Brittany,6175,USD 897.15,Radio country resource rather street.
7711,Phones ,College nice week senior.,Melissa,6014,,Better drop every pattern.
2391, Paper ,Cause bit hotel choice defense not.,Samuel,3519,41.86,Those number sound maybe.
