id,item_category,amount,num_units,transaction_date
1,Bookcases,261.96,2,11/8/2016
2,Chairs ,731.94,3,11/8/2016
4,Tables,957.5775,5,10/11/2015
5,Storage,22.368,2,10/11/2015
13,Paper,15.552,3,4/15/2017
44,Storage,,2,9/19/2017
70,Paper,75.88,2,6/4/2016
73,Chairs,831.936,8,4/26/2015
74,Furnishings,-20.0,2,4/26/2015
75,Storage ,72.784,1,4/26/2015
80,Appliances,208.16,1,6/12/2016
81,Binders,16.74,3,6/12/2016
84,Envelopes,200.984,7,9/3/2015
86,Chairs,301.96,2,5/28/2017
107,Accessories,74.112,8,11/23/2017
108,Phones,27.992,1,11/23/2017
109,Art,3.304,1,11/23/2017
119,Binders,157.794,1,4/5/2015
183,Phones,503.96,4,11/19/2014
184,Phones,149.95,5,11/19/2014
185,Accessories,29.0,2,11/19/2014
205,Furnishings,35.168,7,6/3/2017
229,Chairs,161.568,2,2/28/2015
230,Chairs,389.696,8,2/28/2015
231,Binders,18.648,7,9/13/2014
232,Tables,233.86,2,4/7/2017
233,Tables,620.6145,3,4/7/2017
234,Binders,5.328,2,4/7/2017
235,Furnishings,258.072,3,4/7/2017
236,Accessories,617.976,3,4/7/2017
267,Art,14.016,3,6/16/2017
287,Binders,254.058,7,12/18/2016
288,Appliances,194.528,2,12/18/2016
289,Supplies,961.48,5,12/18/2016
309,Art,4.89,1,4/15/2017
315,Phones,178.384,2,8/9/2014
316,Paper,15.552,3,8/9/2014
326,Furnishings,15.992,1,11/3/2017
359,Paper,36.24,5,4/23/2016
360,Appliances,647.84,8,3/8/2017
361,Labels,20.7,2,3/8/2017
385,Tables,375.4575,3,11/27/2015
386,Accessories,83.976,3,11/27/2015
403,Paper,9.568,2,12/24/2014
404,Art,39.072,6,4/16/2014
419,Paper,5.78,1,11/6/2017
425,Chairs,866.4,4,8/21/2017
430,Binders,189.588,2,4/15/2016
431,Accessories,408.744,7,4/15/2016
432,Accessories,291.96,5,4/15/2016
433,Storage,4.768,2,4/15/2016
435,Binders,4.812,2,12/19/2014
436,Accessories,247.8,5,12/19/2014
495,Tables,189.882,3,3/18/2016
496,Envelopes,105.42,2,12/27/2015
507,Art,2.74,1,3/16/2015
508,Art,8.34,3,3/16/2015
509,Storage,46.74,3,3/16/2015
510,Binders,6354.95,5,3/16/2015
527,Chairs,683.952,3,10/21/2017
528,Furnishings,45.696,3,10/21/2017
534,Phones,979.95,5,5/29/2016
535,Binders,22.75,5,5/29/2016
539,Appliances,152.94,3,12/7/2015
540,Chairs,283.92,4,12/7/2015
553,Furnishings,34.504,1,9/11/2017
556,Art,19.456,4,3/3/2014
562,Appliances,13.0,5,9/14/2014
563,Furnishings,13.128,3,9/14/2014
587,Chairs,70.98,1,7/3/2015
588,Labels,294.93,3,7/3/2015
603,Storage,142.776,1,3/15/2014
604,Furnishings,45.696,3,3/15/2014
605,Binders,7.218,3,3/15/2014
606,Binders,43.188,4,3/15/2014
607,Paper,131.904,3,3/15/2014
634,Accessories,17.88,3,9/24/2017
635,Labels,235.944,3,9/24/2017
636,Chairs,392.94,3,10/4/2015
665,Fasteners,10.74,3,11/4/2016
684,Machines,7999.98,4,11/4/2017
685,Appliances,167.44,2,11/4/2017
686,Accessories,479.97,3,7/5/2014
687,Labels,14.62,2,7/5/2014
688,Paper,19.44,3,7/5/2014
690,Furnishings,104.01,1,6/21/2014
691,Phones,284.82,1,6/21/2014
692,Storage,36.84,3,6/21/2014
705,Paper,10.368,2,9/12/2014
706,Appliances,166.84,5,9/12/2014
707,Accessories,15.216,1,9/12/2014
712,Envelopes,24.448,4,9/3/2017
725,Supplies,45.584,7,7/7/2016
756,Tables,383.438,4,9/18/2016
762,Labels,12.39,3,11/3/2017
764,Envelopes,11.36,2,1/13/2014
765,Envelopes,50.94,3,1/13/2014
766,Accessories,646.74,6,1/13/2014
767,Binders,5.64,3,1/13/2014
768,Storage,572.58,6,1/13/2014
769,Furnishings,310.88,2,5/14/2014
770,Chairs,641.96,2,5/19/2016
786,Envelopes,186.69,3,5/23/2015
789,Binders,143.96,4,6/26/2015
790,Storage,15.42,1,6/26/2015
791,Binders,43.04,8,6/26/2015
792,Chairs,332.94,3,6/26/2015
793,Phones,1363.96,5,5/20/2016
804,Paper,12.96,2,3/12/2016
830,Chairs,301.96,2,6/16/2017
831,Appliances,180.66,3,6/16/2017
832,Phones,191.98,2,6/16/2017
833,Phones,65.99,1,6/16/2017
