customer_notes,shipping_comment,usd_amount,sub_category,processed_by,record_id,internal_code
Who value only.,Go war my begin. Point instead over., 1579.746 ,Tables,Doris,2358,3983
Far cold budget pass establish.,Manager possible pretty nor ok.,4.16,ART,Jillian,1527,7145
Later treat growth.,Amount almost fly shake.," $2,999.95 ",Copiers ,Gabriel,5563,7624
Become chance letter change other store lay.,Color large glass bar than.,USD 129.93,Furnishings,David,6788,1506
Gun account under test indicate arm.,Husband not front statement compare.,-50, Furnishings ,Brandi,7886,2011
Production financial bar her.,Friend carry exist close whose.,USD 11.22,fasteners,Calvin,2910,2578
Per before avoid official.,Grow plant down however hair the more.,41.96,Furnishings ,Ashley,9350,3665
Audience both military discover blue trip population.,Color his hair prove better onto.,11.84,FASTENERS,Jose,7820,6189
Congress dark and.,Change pattern subject argue., 36.672 ,BINDERS,Amber,1442,5241
Box trial magazine wear step end.,Stock treatment environment floor.,8.86, Envelopes,Brian,5505,4773
Could low color food artist.,Artist way occur record much power., $9.57 ,PAPER,Emily,7210,3256
Produce civil perhaps teacher data stage white.,Issue prove expect itself.,128.40,binders,Michael,4215,6603
Way account oil month charge up.,Us investment star want have.,22.96, Art,Trevor,1123,2725
Partner tax cause low.,Rate official realize.,6.22,BINDERS,Steve,6083,3511
Section story live.,He get make care., $5.04 ,FASTENERS,Stephen,3020,9371
Record detail throw floor seek stage.,Tend race hot.,121.10, Binders ,Diana,3674,6634
Nature discover song why life husband beyond.,Cost station continue small act style.,22.29,art,Walter,8316,1824
Person hard hospital a year.,Anything bar often.,452.45, Bookcases ,Misty,214,4852
Green positive minute wait hour community style speak.,Write cell themselves., $29.81 ,Envelopes ,James,1898,7560
Over production lot store group.,Billion black only value his place.,USD 22.62,Binders ,Brandon,501,5245
Democrat lawyer assume remember go both.,Pick score later above.,NULL, Phones ,David,1757,2367
Music money care else subject store.,Until certainly consumer project.,603.92,Chairs ,Jesus,3313,1750
Reality lose act.,Those every weight center future.,15.80,Appliances,Alex,7958,6106
Third business position according.,And father spring ever., 4.928 , Labels ,Jason,6377,8883
Community nothing religious month property.,Break order among many.,USD 1369.76, Binders ,Richard,8633,6768
Start consider town city nearly professor thousand.,Style science fill.,391.98, Phones,Eric,5065,2827
Significant air beat.,Police recent four.,USD 11.96,Paper ,Ashley,4535,8826
Treat reflect miss that article strategy.,Much growth while share order spend., $337.98 ,Phones,Carolyn,6355,5459
Well door exist treat bad.,Move may safe western group with.,USD 51.12,Envelopes,Cynthia,3221,7346
Perhaps receive will too thousand design know small.,Raise science black or television., 270.0 ,Accessories,Chad,5436,8272
Approach general star sound pick series control.,Particularly particular boy painting., 258.696 ,accessories,Brandon,1219,2274
More light out night stage.,Low both color only. Note like message.,173.21, Furnishings ,Alexis,9818,4185
Top Mrs later discover quite.,Almost both him behind., 452.45 ,BOOKCASES,Megan,91,6236
Yard easy message economic third.,Night defense coach leader., 4.47 ,BINDERS,Kristina,4490,7496
Leg decision respond likely learn.,Two adult fish once teach bag., $6.85 ,Paper ,Steven,3391,2271
Last democratic power behind operation actually open lot.,Nation into election member your prove.,209.57,CHAIRS,John,4753,1896
Specific base space house mission south.,What friend reflect middle.,17.09,FURNISHINGS,Lisa,5606,5776
Half condition still out include.,Wife lay public dark., $29.32 ,FURNISHINGS,Brooke,1820,6896
Major indeed report person manage environment must.,Policy improve thousand machine.,465.18,STORAGE,Chelsey,8572,9174
Walk price case available.,White family join.,,PAPER,April,9897,4180
Within here line project woman little.,About perform red traditional group.,22.20,Furnishings,Kimberly,7447,7608
Whether bad reason worker.,Official voice dream century deep.,NULL, Tables,James,1690,5956
