sub_category,shipping_comment,txn_id,sales_amount,customer_notes,internal_code,processed_by
 Furnishings ,Significant garden long remain benefit.,7401, 43.13 ,Sister require travel full skill.,6503,Brandon
PHONES,About figure four various.,5017, 1502.376 ,Yes group away of board cover close instead.,6006,Jasmine
Binders ,Money executive company blue.,2849, 2690.97 ,Down standard make common create year.,5467,Dustin
Art ,Quickly run office reveal voice.,5526, 9.78 ,News understand great owner bag less.,2833,Brian
 Binders ,All first stock type size would.,2678, 11.088 ,Yourself nation run debate yourself.,2056,Jonathan
 Phones ,Peace be event nothing her national.,9690,USD 503.96,Tend conference bad summer.,4868,Jonathan
BINDERS,Develop city argue theory item such.,4311, 21.936 ,Interesting together possible suffer the particular.,1533,Andrea
 Storage,Write site among popular.,8879,34.05,Point organization woman prevent ahead enough whatever yes.,6455,Kathleen
PHONES,Position quite out his.,4507,USD 818.38,Determine determine college letter.,8244,Mason
PAPER,War short old thus.,6514,286.93,Season place ok population parent light personal.,9218,Brian
Paper ,Around water citizen operation inside.,5313, 62.016 ,Wife north compare tree soon statement.,4811,Isaac
Paper ,Agency game about person.,6138,USD 32.06,Sense land one behind chair its customer perform.,4330,Zachary
ART,Night local listen body until.,1040, $28.73 ,Gun idea environmental break education summer.,1667,Tiffany
 Fasteners,Like true yet.,3770,USD 1.98,Appear myself day under single provide.,7618,Tyler
 Appliances ,Oil standard old.,8864, $111.04 ,Company account part under reflect drug message.,2194,Susan
furnishings,Work type remember big remain.,5024, $39.92 ,Past give surface risk continue entire.,2854,Anne
Paper ,If black million political we.,8904, 10.368 ,Wind listen she keep.,1779,Luke
 Chairs ,Poor determine kitchen affect.,2496,647.84,Produce inside after than maintain north husband.,3859,Ashley
 Appliances,Foot collection rock director prove.,123,75.84,Once fight record small this never their.,3513,Greg
Phones ,Own candidate her almost former.,4618,USD 589.90,Speech resource ago war true skin man expect.,8648,Rebecca
Furnishings,Rest past yes suddenly also.,867, $51.94 ,Idea heart rather sport each rule read.,8491,Janet
supplies,Not Republican also degree perhaps.,861, $7.36 ,Difference dream cost Congress toward too American wide.,9425,Eric
 Storage,Word kitchen price.,8400,10.74,Process table alone church phone main central.,7035,James
Art,Hold onto read involve.,3292,11.68,Production study five ahead out American.,2479,Cheryl
 Storage,Wall general against allow question.,1332,27.44,Interesting day born.,7666,Brian
BINDERS,Until sell should fact worker book cut.,4712,0.85,Hard future sea nice.,3633,Amanda
BINDERS,East figure yet before.,7496,USD 4.45,Charge nature scene six time say wall manager.,3774,Timothy
 Paper,Story democratic them win mother.,2104, $221.92 ,Food worry music fact present audience.,9435,Michael
Art,Sign hard manager change.,9148,8.04,Heavy certain nice those by focus stop me.,6690,Allison
Labels,Help new garden structure huge step.,1561,18.90,Agreement long for think career.,4558,Donald
Binders,Size detail another window stage.,4842, $5.55 ,Marriage could for discuss position.,4407,Leslie
Envelopes,Product yard record space dinner.,1572, $21.84 ,Cost coach evening.,8546,Nathaniel
 Furnishings ,Involve different end again.,1799,215.65,Set politics you that appear appear forget.,9839,Mark
PHONES,For soon reveal have name fund prepare.,1445,1979.93,Coach white music family situation.,7233,Brenda
BINDERS,Until democratic culture pattern area.,335, $4.75 ,Degree company tax election.,9603,Sandra
STORAGE,Point Mr along up term.,9936,36.74,Collection picture technology weight town two.,4788,Alex
BINDERS,Worker enter job ask meet.,6986, 29.52 ,Father find series form strategy travel.,8006,Wendy
ART,Win game our.,9179,USD 23.65,Tax I beat society cut.,9056,Deborah
binders,Him pull line subject about collection.,6129,49.41,Yes event life available hotel ahead.,4316,Alyssa
BINDERS,After decide assume.,6098,11.78,Light security think person on look.,5426,Megan
Binders,Hour huge name cultural.,1774,20.86,Physical life natural a myself data.,4362,Mary
storage,Interesting very support.,6342,156.51,Church truth difference born.,7878,Rachel
Phones ,Structure avoid question certain let.,4966, $467.04 ,Security along two threat man.,6803,Lydia
 Labels,Skill amount cost dark.,2085, 122.12 ,Me require during fight trial.,7256,Nathaniel
chairs,Last market new plan card.,3830,476.80,Power hour training child arrive.,2695,Justin
Binders,Phone step produce difference.,6116,41.90,Include lawyer happen region especially behind year.,2682,Lisa
fasteners,Person former meet west stay sense.,827, $35.00 ,Seat billion help watch.,7394,David
 Storage ,Large defense model purpose.,8400, $10.74 ,Social coach room senior wonder no kitchen treatment.,1865,Kimberly
Chairs,Want probably rule fast.,5164,170.35,Rock left their word time young student.,2595,Terri
Paper,National than watch candidate.,5882,368.91,Almost a true market.,4815,Erin
Phones ,Wonder already create sea card minute.,2694, 90.48 ,Market decide crime high word.,5216,Taylor
SUPPLIES,Yourself choose visit American.,6306,17.58,Opportunity condition thing news this late week.,5853,Johnny
 Machines,Production finish who.,8958, 120.0 ,Big wish many sing.,7109,Casey
 Chairs,Wall least manage recent me.,7526," $1,487.04 ",Already police unit.,6845,John
FURNISHINGS,Page space thank four ever.,8377, $162.60 ,Either explain peace produce newspaper realize.,5980,Kevin
labels,Agree choose firm provide stop wonder.,846, $14.62 ,Probably beautiful live offer today week TV.,8097,Matthew
 Art ,Hair down why kid less.,8088,10.50,While free arrive side however rich.,5376,Larry
ENVELOPES,Rock after matter.,421, $15.25 ,Phone time budget everyone administration.,1420,Valerie
STORAGE,Movie yet serious behind long.,198,46.26,Guy new pay ahead.,6988,Amber
art,Local behavior bill away house even.,7663, $99.20 ,Debate fight blood successful.,2582,Eric
Paper ,Consider fall management none.,1587,143.70,Blood society song health maybe.,7303,Jonathan
PHONES,Seven use action. Some again treat.,9649, $281.97 ,All market tell fill economy.,5749,Spencer
 Paper ,Coach person produce new.,1276,USD 14.35,Present provide firm your choice economy.,4531,Benjamin
phones,Someone them agency trial.,3693,87.96,Drop lead reveal six.,3794,Shannon
 Storage,Response state mission white.,625,523.48,White meeting return staff hit.,8679,Shannon
Tables,Recently care property cold.,5860,USD 301.96,Dinner attack administration face person per.,2590,David
 Furnishings,Economic day last system.,536,17.09,Career event amount road debate hand magazine.,6007,Joann
binders,Room accept find.,9570, $6.73 ,Economic end whom meeting.,4343,Christopher
labels,Speak science sea everything popular.,1617,unknown,Picture her at much when trial likely.,3350,Charles
Art ,Miss back open difficult animal.,8839,70.95,Continue again case size.,1700,Kathryn
 Paper,Or certain card forward community.,8033, $47.95 ,Industry family themselves charge.,9482,Lisa
 Binders,Research involve want offer.,8166, 11.952 ,Note cultural course station he police weight.,3017,Robert
Paper,History although rise.,2708, $192.16 ,His also become hear art increase.,5488,Stephanie
 Accessories,Appear window man rock black.,3571,"1,687.80",Myself fish another wear bed least.,7210,Marcus
Binders,After security next choice money let.,7192,5.39,Stop practice woman tough level wish race.,1375,Lynn
Art ,Dream build watch American.,7316,USD 43.92,Direction population whole suddenly capital career.,1513,Julia
 Paper,Wear anything where floor.,3328,21.72,Thousand meet kid project health around recently.,7759,Katherine
 Binders,Call question hot war.,4268, $12.59 ,Growth feeling music choose radio data.,7764,Stephen
 Accessories ,See almost hair far growth.,5005,USD 47.79,Make but matter offer old many.,6461,Michael
Paper,Success process box trip.,9184,24.56,Which cut hundred people.,1538,Anthony
 Binders ,Plant president thousand onto.,2050, 2.502 ,Window boy front similar simply full.,7992,Donald
PAPER,Threat full arrive structure.,2253, $143.70 ,Almost box natural parent can still management.,3510,Katherine
Paper ,Home role blood minute Mrs.,2793, $6.48 ,Hard conference between TV.,5274,Wayne
COPIERS,Their they type loss doctor.,4573,USD 479.98,Image first claim beat human glass.,6596,Michael
Phones,Factor know attention.,1401,21.80,Leave remain seem attack wrong item.,5595,Michael
labels,Coach take us force.,1513,6.00,Laugh enjoy wall firm course avoid pattern several.,5376,Roberto
art,Yourself kitchen will prove.,8497,59.52,Present town page establish travel.,2498,Jenny
 Binders ,Sing what suddenly sing.,5274, $3.74 ,Force news mind require total.,7538,Jason
Furnishings ,Place order figure boy.,79,NULL,Yeah she factor serve world note region assume.,6508,Gina
 Phones ,Big mouth coach have official fear.,3066,140.74,Life former each physical.,1693,Ryan
 Accessories,Parent listen report court sometimes.,9715,58.42,Fast position wrong director then ground.,2555,Michael
 Supplies,Whom want country small.,5021, 347.58 ,Want charge within opportunity card.,7367,Chase
art,Investment poor what something.,2613,25.44,Back same build physical television result spring.,5006,Margaret
 Appliances ,Concern push prove.,4615, $62.79 ,Help commercial benefit before his radio nice.,2587,Mackenzie
Paper ,Difficult near hold choose.,4693,USD 221.92,Family bit rate truth.,6197,Tamara
 Chairs ,Project bed control budget.,8563,"1,454.90",Get parent home yourself thought benefit.,4048,Regina
 Tables,Hair education seek them start.,7410,NULL,Lay yeah state cup.,6452,Jessica
 Accessories ,Enter style on dark.,9863,12.12,Trial will employee mouth beyond something team.,4655,Jamie
BINDERS,Bill last buy yet training.,5423,11.23,Level brother speech prove doctor treatment late serve.,1131,Dawn
ART,Notice place paper rise.,8208, 2.624 ,Peace TV despite include agree.,8286,Michelle
Appliances,Watch ten start himself.,248," $1,503.25 ",Raise pressure clear party thousand.,4318,Jacob
BINDERS,Moment way across west whether.,547,41.28,Deep week rather during.,1913,Adam
ART,Every there local.,4613,USD 47.62,Defense over anything begin wrong save.,3903,Daniel
storage,Baby than who nation.,8474,USD 9.95,Conference whether offer final owner.,1994,Amber
Binders ,Down generation ability mind game.,5989, $8.60 ,Control series our always collection.,3156,Christian
Chairs ,Provide positive report.,6128,328.00,Station fall activity most skin.,4672,Aimee
 Binders ,Different town garden environment and.,2567, 25.12 ,Unit language tonight generation would.,6084,Jonathan
 Accessories ,Write everyone true expert from.,654,103.12,Light actually opportunity throughout manage surface act think.,6401,Angela
Binders ,Reach down establish well arrive.,2071,1.94,Player by right research live century catch.,6920,Sarah
PAPER,At and national chance.,1749,10.37,Prepare reflect what know computer seat.,5225,Joel
binders,Yard every hear human town then data.,6363,USD 150.80,Over ok view.,4589,Charles
Accessories ,Improve world factor former floor.,1567,,Analysis serve whether.,4926,Karen
Accessories ,In discover become voice strong you.,2127,USD 86.38,Among sell particular soldier game country consumer.,6387,Jason
 Paper ,Force almost record.,8995,91.36,Short message item save.,5607,David
 Binders ,Us for painting.,9712,13.19,Goal certain method choose.,5179,Amy
Binders,Region artist different foot wear.,9929, $16.15 ,Hope here that read quite eat whole.,6899,Carla
Art ,Line certainly year how.,28, $18.66 ,Song forget add sister inside season.,5898,Tonya
envelopes,More another future effect heart.,9677,64.02,Maintain skill store risk factor.,9980,Amy
Binders,Represent newspaper talk truth white.,870, 1141.47 ,Ground red interesting month top.,6933,William
Art ,Window development public interest.,9083,5.56,Name suddenly box oil perform.,9370,Jenna
 Furnishings ,Tell low financial ask Mr think thing.,3698,USD 141.96,Policy only artist past.,5257,Rodney
furnishings,Box them miss.,5371,273.96,Position town leave bar pull base thank.,4178,Eric
 Envelopes ,Thought side would item.,5505,8.86,Get southern argue safe focus best.,3392,Valerie
Binders,Particularly price save college.,5795,46.67,Fire become food official before someone.,4520,Katrina
 Phones ,Fly heavy until audience sport.,8001,USD 263.96,Mean final relate book.,6038,Ivan
 Chairs,Though whole enter win.,7526,USD 1487.04,Especially politics best simply interest.,9030,Tammy
phones,Attack represent free.,6161, 323.976 ,Political south five that book set.,7617,Natalie
 Paper,However majority kitchen them.,1748, 10.272 ,Boy strong cultural tell result.,8113,Cynthia
Art ,Security economy sell.,2619, 4.17 ,Suddenly social very particularly maybe debate listen.,1971,Margaret
TABLES,Other real order.,1457,USD 452.94,Remember write support plan fill issue.,5388,Mary
 Fasteners,Keep national score.,3774,6.91,Wall first common.,3064,Sophia
Art,State now writer either study wall.,7477,USD 5.48,Wide event can hundred year image school two.,3241,Robert
BINDERS,Wide everyone draw.,1898,,Season probably push ever rule nation.,8624,Erik
 Accessories ,Church discover huge couple.,7677, 23.472 ,Go and sound south let.,8727,Nicholas
 Paper ,Sea say benefit fine on election.,2032,USD 10.95,Nor investment parent against morning name age.,1585,Maria
BINDERS,West score go enjoy.,3477,152.00,Miss myself itself.,9742,Lisa
Fasteners,News reality line most product.,9363,-,Determine develop bed bring address follow teacher.,3386,Jennifer
Paper ,Live walk effect.,2675, 166.44 ,Deep person attorney after beyond remain.,3870,Lauren
supplies,View increase activity soon vote.,2740,unknown,Price court democratic five serve theory.,8032,Thomas
tables,Themselves network method arrive yeah.,6047,USD 692.94,Speak your amount year go lawyer computer.,9631,Jeanette
Furnishings ,Policy boy score.,8357,186.54,Someone report some front movement from produce.,2822,Edwin
Binders,Week study skill mean black.,1554,124.75,Civil final bag else hair.,7070,Brandi
Phones,Character know lay day religious.,4999,109.59,Record national go movie.,4032,Courtney
Bookcases,Change explain compare the less seek.,8416,242.35,Any memory factor stop.,9331,Evan
art,Or management improve avoid individual.,4765,27.76,Truth wife property first.,7251,Kristi
Accessories,Occur yes bag rule.,4063,39.99,Short agency doctor message his thus.,7981,Nicole
 Appliances,Art evidence loss professor.,5909, 59.7 ,Value dark citizen feel baby increase rate.,7043,Taylor
ACCESSORIES,Health go bar husband blue.,5934, 16.776 ,Politics international grow police.,3090,James
 Appliances ,Forget in yard focus others central.,6752,USD 8.74,Nice lose fast name.,8378,Rachel
 Art ,Security economic feeling training.,9665, 45.04 ,Cultural doctor scientist family.,2650,Shirley
Paper,Image room order agent property.,2831, 78.304 ,Pretty sometimes level worry wrong defense school.,7788,Caitlyn
 Storage ,Night you read lay.,2487, $85.52 ,Raise quite less court risk well.,5591,Melissa
 Phones ,Maintain fish cover each deep.,2784, $23.99 ,Might commercial group actually side mind.,8518,Nancy
 Accessories ,Professor next morning.,4150, $55.20 ,Reason agree interest white either style.,2108,Anna
 Binders,Rule hotel world military of smile.,2240,USD 1016.79,Among play kid money.,8923,Lisa
binders,Live memory surface news.,8723,1.52,Lot travel many station floor.,2451,Shannon
Binders,Home system table participant.,1058, $19.94 ,Somebody then appear control speak of.,8143,Nicole
 Binders,School former letter half major near.,46,NULL,Here power employee although owner sell.,2499,Courtney
Binders,Police middle specific long fund house.,522, $14.11 ,Clear music however store during.,4424,Olivia
furnishings,Class family while than.,8120,USD 41.96,Body sometimes line win end on blue land.,8921,Rodney
ACCESSORIES,Customer federal difference any try.,7564,NULL,Vote big necessary sure.,4293,Patrick
phones,Easy clearly fish main.,3997, 769.95 ,Career reality scene whole president like development.,5073,Daniel
chairs,Analysis when matter environmental.,9760,-50,Economic material reveal father.,8546,Elizabeth
 Paper,Would cover attorney.,6897, 244.55 ,Decide eight story government general.,2353,Michael
Labels ,Worry game behind.,4054, 55.44 ,Glass understand new social their table teach.,2071,William
Furnishings ,Guess majority lose.,4226,USD 94.43,Success draw teacher painting.,2449,Michelle
Accessories,Data cold necessary assume say.,5277, 44.75 ,Medical I hit care air laugh read.,8920,April
 Paper ,Matter list school western.,9594,INVALID,Building style represent.,2039,Adam
Binders ,Until memory standard huge.,8756, 6.258 ,Card PM huge chair man.,6369,Devon
Furnishings,Position leader claim campaign.,1164, $199.90 ,Surface my manager civil week parent.,9357,Randy
chairs,Run specific son follow product.,9429," $1,212.96 ",Whom here three leave.,3865,Jamie
Chairs,Low prove trade garden benefit.,6550, $155.88 ,He physical cut.,2990,Debra
Bookcases ,You trouble wind ok.,9788,"1,023.33",Couple magazine alone class.,5839,Michael
Furnishings ,Before section break cover card law.,74, 97.04 ,Career hope example test serve hand.,7404,Kristopher
 Accessories ,Just body truth fact Mrs.,8604, 30.08 ,Arrive space second thank good continue.,3322,Ann
Binders ,Approach center so color.,5681,6.38,North century subject indeed.,1063,Michael
binders,Reduce entire explain.,7116,5.73,Three wear traditional analysis.,4898,April
Chairs,Arrive radio wish marriage.,6880,2003.92,None determine analysis.,7565,Samuel
BINDERS,Physical fill prepare time.,3754,841.57,Difficult step administration.,3191,Jorge
FURNISHINGS,Box book store her course lay.,2007,USD 7.58,Control him difference such.,6931,Marilyn
Furnishings,Affect author stock moment can.,3852,INVALID,Whole first civil call.,4976,Jessica
BINDERS,Old receive yeah good war.,2023, 49.53 ,While left no suggest nearly.,6560,Juan
 Binders ,End Mr forget work total.,2464,14.62,Bring law leader also view nothing hotel.,4983,John
 Storage ,Middle animal meet move agency.,4149,USD 13.72,Exist our program mission something.,6935,Jason
 Art,Gun remain ten former plan.,7755,3.01,Alone short six inside military.,9516,Melanie
 Storage ,Less hold identify sea.,5954,146.35,Easy base animal billion skill.,1336,Andrew
furnishings,Strong important expect claim way from.,5256,USD 33.57,Amount lawyer simply recent.,2492,Anne
