internal_code,category,txn_id,shipping_comment,processed_by,customer_notes,amount
2931,labels,7926,No whole put after lawyer majority.,David,Above goal sister.,103.60
5980,Chairs,6863,Guy necessary man.,John,Cup left national believe indicate out none., 218.352 
4247,FURNISHINGS,94,Act there surface somebody model.,Mary,Road ready you seek chair school., $53.34 
5225,bookcases,8632,Surface scientist outside low.,James,Make check whatever reason well safe.,177.45
4274, Art ,8172,Attorney part society.,Joshua,Nothing seat economic feeling sense increase southern., 264.18 
2885,Accessories ,7901,Discuss west better his.,Samantha,New spend successful protect skin., $1.58 
6110, Paper,5335,Answer half garden ahead much.,Rebecca,Story situation entire can degree.,USD 17.34
1138,Paper,4212,Draw national decide off.,Jessica,Cover our cold do accept building cost., $9.42 
4503,PHONES,589,Actually station sure poor unit right.,Victor,Exactly opportunity rich history strong study., 84.784 
2177,Bookcases ,5930,While inside dream guess law.,Brett,Model in many high energy., 87.21 
8228,storage,3074,Identify side take strong forward sing.,Donna,Good cold attention size network account everybody data.,USD 114.46
7752, Paper,9001,Evidence whether son happen.,Matthew,Tell plant receive popular.,6.48
1749, Binders ,6683,Less lay identify seek.,Craig,Common ask ever kitchen media role job.,3.60
6602,Binders,1524,Sense even create because.,David,Bank yes gas catch bed.,error
4447,Art ,8739,Leader everything realize nearly.,Yolanda,Four project enough agree order loss sing., $13.25 
6582, Accessories ,8197,Yourself environment gas.,Ivan,Rather realize expect walk.,USD 89.57
7635,Furnishings,1223,Billion truth enjoy on between entire.,Tamara,Your likely value certain.,113.79
4126, Tables,1041,Hit none stop arrive.,James,Child why beat popular garden., 697.16 
9976,ACCESSORIES,1805,Several smile southern if.,Anthony,Find give present some animal whatever position measure.,
7852,binders,5633,Discover gas drive speech lay.,Jason,Enjoy lawyer Mr official face administration paper.,error
5838,SUPPLIES,4980,Future determine require reality.,Kathy,General hair former tax., 20.568 
1939,Furnishings,9322,Coach happen seat actually.,Steven,Shoulder down score others.,11.38
8155,art,4127,Imagine energy do throughout.,Elizabeth,Political instead fear with including feel conference.,54.66
9152,Phones,1450,American prepare mission little our.,Sabrina,Spring source and billion want.,88.75
1855,Accessories,8857,Where it form throughout yet.,Hannah,Late establish create value effort hospital course., 209.94 
1807,PAPER,1807,Know beyond read point ten decide fund.,Jessica,Power teacher million movie brother.,45.36
9056, Paper,1006,Middle respond raise bit bill.,James,New free nor.,115.30
4162, Phones ,5198,Old everyone unit along.,Travis,Institution remember already opportunity paper., 43.6 
7422,Phones ,327,However more throughout me method.,Destiny,Reflect officer job necessary admit condition.,290.90
6529, Bookcases ,5221,Player admit night.,Timothy,Finish approach action return.,212.94
9640,Accessories,6247,Paper piece speech her.,Michelle,Simple machine right speech lay compare., $13.98 
1257, Labels ,5857,Else system treatment morning.,Jasmine,Open few clear city these., 41.4 
2242, Binders,1518,To pretty no reason.,Amanda,Fly teach hospital customer participant pay nothing.,83.84
7585,BINDERS,8916,Measure center all south.,Elizabeth,Public minute too majority.,error
4599,Art ,4963,Start hand drive television.,Danny,Him find official write upon., 17.94 
1700,Labels ,4410,Star why card myself story.,Jennifer,Just close present according without gun., $5.78 
5778,Storage,549,Leg instead support adult training.,Lauren,Unit region common movie real simply.,250.27
6685, Chairs ,4531,Without same middle room against head.,Eric,Take option tough police push machine here.,408.01
9739, Chairs,4209,Always nice attention public give star.,Alyssa,Place decision base fish probably.,1604.90
1304,Fasteners ,3836,Father require weight hot mention away.,Diana,Line information magazine green.,USD 2.37
1693,binders,8458,Program capital say.,Nathaniel,Daughter result land middle., $3.56 
3042, Furnishings,9711,Energy after save just.,Lisa,Approach less both expert concern suffer.,273.57
8194, Phones,9346,Crime majority anyone leader prevent.,Carrie,Nothing dream claim choose mean they., $57.59 
5811,Paper,7233,Total forget find happen also hard.,Michael,Garden beyond collection from reflect maybe.,27.12
3886,TABLES,756,Wind near nice road least.,Trevor,Write build single tree moment.,USD 383.44
5078, Appliances ,5762,Industry account drop.,Andrea,Animal loss size drop whole television poor., $542.94 
2578,PAPER,4361,Name against culture over.,Sarah,Through central run team.,111.96
8042,Chairs ,636,Wall word today now.,Jonathon,Treat believe whatever whether.,392.94
2428,TABLES,3390,Candidate magazine success star.,Michelle,Chair worker choose organization draw price rock feeling.,154.76
2740,Paper,2804,Wide general end quality hold word.,Kristin,Project hotel sure success try purpose., $12.84 
4772,Envelopes,84,Nothing employee house man really.,Timothy,Miss today fly beyond.,USD 200.98
3386, Binders ,7313,Space about need myself thought ground.,Paige,Dark project attention.,USD 11.21
9399,Envelopes ,9210,Lawyer support on sing.,Ashley,Loss remain which the education heart cold.,
5799, Storage,3772,Cost machine involve report level.,Olivia,Professor collection test Congress college him mission.,82.37
7385,storage,6061,Address clearly he wrong well.,Joe,Lead ready fire yes buy., $142.04 
4360,Accessories ,784,Reveal follow history avoid.,Ryan,Skill yourself reduce somebody score skin card probably.,95.98
9806, Binders ,2940,Wind offer part sense huge.,James,Authority bill mention country room world., $59.81 
3919,Paper,7860,Near meeting reason space.,Catherine,Theory forget market page east point.,USD 39.96
2921,ART,1348,Pick challenge term single.,Wendy,Since series night fact against., 19.68 
4669, Binders,4120,Bad of approach generation meet.,Ruth,Share assume speech ready south young detail trouble.,91.39
2979, Phones ,1952,Somebody sit watch so coach reduce.,Justin,Loss away agreement same.,197.97
5325, Art ,9299,Interest next us team.,Mary,Event manager card.,74.35
3412,Furnishings,1302,This teach trial spring seat.,Nicole,Reach rock thing western indicate since.,USD 286.38
4975,ART,4363,Me sit value picture throughout claim.,Allison,Whom management factor enter help.,USD 131.94
8250,Paper ,5946,Buy teacher factor sure.,William,Share up join everyone agency back., $25.92 
2768, Accessories ,8160,Avoid best care employee opportunity.,Jeremy,Office him item., 199.75 
2967,APPLIANCES,5222,Lay become tax turn another.,Joseph,Later himself not.,706.86
3261,FASTENERS,1241,Around cost mother choose happy.,Dustin,Employee what none full.,22.96
1762, Art ,3286,Data together other citizen eight.,Barbara,White simple community team still building.,unknown
7588,binders,4349,Alone notice however list.,Justin,Position page model between ability seven., 20.724 
9687,Binders,616,Sport throw behavior.,Jennifer,Next dark popular., 3.648 
5359,art,8324,Admit court seat per.,Kevin,Watch process return.,47.96
6470,BINDERS,9311,Large much three above.,Michael,Smile across training my same.,USD 146.69
7615, Labels,5668,Involve get show action guess.,Kimberly,Conference force hope simply.,14.62
4437,storage,5061,Activity agent girl watch under.,John,Think sell side view kid anyone rather.,USD 584.82
7473,Accessories ,8450,Prevent stock rule.,Molly,Coach man cold wall establish simple.,279.86
8870, Supplies,4568,Stock within consumer skin something.,Jon,Scene that what building father for., $35.52 
7794,Tables ,1098,All television off natural environment.,Brandon,Author before computer director pay soon entire., $447.84 
6818,phones,6840,Seven beautiful reach religious type.,Michael,Issue imagine design ago glass coach., $371.20 
9406,ENVELOPES,38,Make sort often own few.,Benjamin,Thing subject effect relate world enjoy prevent., $113.33 
1843,Paper,5114,Face right soon seek any section.,Jesus,Consider meet test family site white.,USD 15.55
6144,furnishings,971,Hour music always.,Ashley,Book rather manager share.,USD 127.10
4184,BINDERS,7994,Realize similar television staff.,Donna,Section executive standard success anything black., $4.90 
2788, Furnishings,1681,About world across business.,Mary,Similar international left., 42.368 
5019,Storage ,8143,White service force work against.,Cheryl,Sea oil although.,INVALID
9537,PAPER,9486,Agreement peace policy better.,Kyle,Firm loss put involve certainly open.,USD 30.82
9018, Binders,2250,Along build indeed art.,Nicolas,But whatever offer that miss.,11.52
8181,Fasteners,3678,Community message eye beat but food.,Jason,Stuff course animal television two.,15.80
6043,Binders ,367,Material reality system and hair when.,Pamela,Entire training bring develop already civil indicate sign.,-
9397, Phones,908,Public almost yeah.,Michael,Crime response always apply then best conference., $90.93 
7350,Paper,9354,Watch total himself blue hope economic.,Russell,Event rate baby then recognize drop room interview.,11.42
1936,BINDERS,3359,Choice quality back college.,Michael,Special else office agent.,3.21
6769, Binders ,234,Down couple employee least pay stay.,Molly,Something make nothing act job culture., $5.33 
3236,CHAIRS,2899,Education different economy skin.,Tammy,Grow technology turn particularly move red him.,USD 408.42
6370,Chairs ,4646,Author seek keep tell view report far.,Stacy,Left air father., $145.76 
6588,ART,389,Far fly key business drop record star.,Natalie,Others man ball fear dream measure mention., $2.62 
6262,bookcases,7337,Purpose even behavior we.,Mark,So difference government notice action side continue television., $449.57 
8114, Furnishings,6404,Smile turn exist ball.,Sean,Work arrive recognize design run onto research.,8.01
2299,Paper,2346,East material truth ever decade.,Jasmine,World upon hair office concern hair have.,USD 70.08
5791,CHAIRS,2014,Day level capital business.,Paula,Hit eight site nothing I.,350.98
6022,machines,1834,Option turn have set.,Donald,Remember imagine approach sing.,1439.98
4134, Art ,3122,Room stand budget such.,Crystal,Necessary fund happy team.,USD 60.77
7407,Binders,7034,Paper leave spend no benefit you high.,Nancy,Affect forward figure view green.,55.01
1329,Furnishings ,2773,Local daughter organization effort.,Riley,Away become half will laugh wife.,19.10
9875,Art,7259,From later song artist popular against.,Stephen,Threat movie them city development national., 14.7 
2648,tables,2747,Fly analysis unit agreement including.,Joseph,Lawyer away all forward., 700.056 
1051,ACCESSORIES,8554,Result cut why indeed contain central.,Kim,South answer technology.,239.92
8561, Chairs,3552,Most realize good.,Michael,Series vote skin might later its., $844.12 
4053, Phones ,55,This defense wife down.,Brittany,Practice attention us.,1029.95
4734,Binders ,4708,Watch successful happy author along.,Derrick,Particular bit election card.,USD 895.92
7072, Paper ,6251,Environmental Republican hotel money.,Susan,Car kind natural chance follow., $7.98 
5715, Storage ,4855,Fear guy writer include decision.,Michelle,According style writer take simply drive., $27.44 
8672,Furnishings ,5618,Will pattern member owner.,Wyatt,Water financial party population miss., $19.52 
2404, Paper ,505,Early yet finish evening.,Wesley,Here common social defense., 32.792 
6842,PHONES,5198,Most night own meeting security.,Stephanie,Concern theory approach need better good artist.,43.60
9193, Chairs ,6885,Mother sure five although.,Carla,Situation join across although nation.,USD 2567.84
2237,Fasteners,5721,Real represent positive data sure.,Brian,Husband nor want official but everybody present.,8.72
