subcategory,internal_code,sales_amount,record_id,processed_by,shipping_comment,customer_notes
PAPER,4964, 182.72 ,728,Kelly,Might keep world.,Well people among though.
labels,3043,60.14,5767,Heather,Unit good budget own discuss.,Lose nation usually pay.
binders,5702, $25.68 ,8459,Jenna,Office clearly seem whom writer bad.,Drive allow land find six personal.
Art,4744,-10,4584,Jessica,Its minute you a fine two table.,Her prove against.
 Fasteners ,9187,3.49,6073,April,Establish mission interview clearly.,Could address window effort.
Phones,5922, 164.388 ,2570,Jeff,Law green should whether last.,Necessary bad thought successful test whose exactly.
 Accessories ,1441,USD 83.97,9950,Annette,Various six personal how top.,Bill mind catch should.
FASTENERS,4175,19.10,8952,Douglas,Stock treatment way gas.,Cost ground than century cold seek that.
paper,4374, 79.14 ,5218,Tammy,Receive small pattern tax agent crime.,Stock central fall travel teacher.
chairs,5780,362.14,9913,Pamela,Center test time.,Real space true many bad class computer ask.
 Chairs ,1297,-,1127,Erin,How their sense himself society.,Wide ask defense own beyond.
phones,2859,359.97,2726,Cheryl,Strong sometimes reach food.,Condition deal end performance receive off own.
 Binders,6609,USD 447.86,5877,Dennis,Debate low financial a fight.,Institution education who position value natural under.
Accessories ,9730, 408.744 ,431,Robyn,Explain several laugh great.,Help concern agency actually.
 Labels ,5352,39.84,3208,Michael,Full support pattern career.,Responsibility pretty fast design gas detail church.
Binders,5851, 57.504 ,2043,Clifford,Beyond report two such.,Late peace set along.
Fasteners ,1718, 12.35 ,1704,April,Lead center small with.,Than federal idea three try southern major.
Binders ,4635, 30.44 ,7429,Crystal,Consumer letter debate table.,Space tree prevent study also.
 Labels,6572,USD 3.00,4664,Christopher,Strategy yeah inside relate.,Behavior window end reduce knowledge mother career.
CHAIRS,7008, 170.072 ,8187,Laura,Kind very six enjoy.,Generation investment budget stand sure meeting.
Storage ,5623, 242.94 ,733,Melanie,Star mind present site here camera.,Option dream source owner south build else.
 Paper,6804,6.67,9903,Zachary,Memory moment fish seek.,Player if third upon the.
Binders ,9295,45.24,5655,Brian,Game step maybe a himself of sort.,Congress man case thank concern explain coach purpose.
 Phones,5251,USD 79.92,3637,Jacqueline,Soldier forget low party.,Thing answer everyone society.
 Art ,1154,USD 8.64,7707,Brian,Pass father I open.,Product some among draw ball democratic senior use.
 Chairs,9713, 47.968 ,6804,Miranda,Image series husband interview key.,Office show executive ask not catch.
 Furnishings,6755,15.01,4676,Melinda,Me main activity.,Body wide wear public popular.
phones,7768,71.96,6028,Rachel,Project economic others too task.,Shake son source reality difference.
PHONES,6813,missing,9737,Steven,Base deal walk major pressure increase.,Include guess point consumer sometimes.
Chairs,1510, 191.96 ,3585,Jessica,Find unit three might improve.,Occur box war hand manage one.
Accessories ,6761, 199.99 ,6634,Ashley,Reduce benefit idea allow.,Too exactly factor admit state what skill.
 Storage,4781,USD 247.10,1525,Daniel,Use reduce rather defense practice.,Program company bank ability system.
FURNISHINGS,4114, $4.93 ,8298,Tonya,Window born power language of.,Hard north road and cause short.
PAPER,7048,139.86,415,Carrie,She TV society third.,Father check stay.
ART,4729, $47.96 ,8288,Ryan,Think pattern family remain song.,Person whatever these life firm risk defense.
Storage,7339, $55.50 ,18,Patricia,Face for represent significant.,Edge heavy lay they stock effect.
 Appliances,2281,17.34,6021,Amanda,Evidence scientist tend.,Leader for college charge against put own.
Furnishings,6255,20.90,4248,Daniel,Get social traditional turn.,Door structure material accept so.
 Art,9244,USD 12.74,8073,Jared,Per care smile begin.,Choose rather health room.
 Binders ,3869, 21.36 ,7438,Lisa,International something pattern.,Apply product need sign land.
 Paper,2109, $23.12 ,1193,Kathy,State defense this least.,Amount reduce street.
APPLIANCES,8633,83.79,2865,Leslie,Training so step.,Writer wind go idea order.
Binders ,3248,USD 76.18,138,Jacqueline,Night risk or my see.,Degree state law value.
 Paper,9963, 117.456 ,6168,Philip,Outside natural recognize fire.,None door entire part next.
Chairs,2182, 785.88 ,2672,Michele,Weight success management hit bar.,This successful deep day this north front.
 Phones,9833,USD 1259.93,3733,Timothy,History someone piece.,Could parent only upon push.
 Binders ,9029,19.05,992,Larry,President these amount trouble age.,Ago accept behavior student life rich run girl.
Binders ,6568,USD 45.24,5655,Amanda,Piece along door goal generation off.,Common moment yet total set.
ACCESSORIES,8367,-10,2814,Christina,Claim perform thank kid light.,There move evening future major message.
Art,6115, 31.84 ,3079,Tony,Push big perform.,Throw baby price smile attack available.
 Furnishings ,4421, $8.35 ,158,Leonard,Describe a size. Carry sign good same.,Size serve to anyone ever their.
BINDERS,4049, 69.456 ,7236,Brian,Can likely yourself enter.,Southern be improve different staff meeting.
 Chairs ,1315,USD 561.57,9040,Robin,Fund mind letter hear station several.,Until address available your less.
Accessories ,6269, $18.00 ,9961,Jeffery,Many sit exist.,Natural camera cause government.
Binders ,1448,59.91,5594,Whitney,Every professor site exist rich.,Listen remember among also increase possible.
 Fasteners ,6681, 20.0 ,4431,Meghan,Camera hundred Mrs record cut.,Here ok pretty take effect development somebody.
chairs,6467, $145.76 ,7171,Lisa,Election fast will talk occur.,Customer sound require ready.
appliances,7401, 59.24 ,8954,Christine,Later seem situation and common.,Fight assume rather against.
 Fasteners ,5691,USD 10.82,554,Bradley,Soldier happen building.,Within us meet off rule drug.
binders,8555, $76.78 ,4463,Randy,Hour save increase.,Wife how big arrive area upon seek.
Binders ,8382,USD 43.68,3685,Beverly,Prepare hope fish reality.,Include hear government hand improve.
Paper ,1601, $7.97 ,2529,Mark,Type heart mother or about as.,Letter memory suggest third vote Democrat.
 Binders,9069,19.75,2173,Crystal,I else involve send board.,Month low environmental crime or.
envelopes,4674, $15.52 ,5783,Cynthia,Free industry rest everything.,Among strong computer something today painting relationship.
ENVELOPES,7051,USD 28.40,2403,Robin,Book whose current put.,Many affect where nothing.
Binders ,8670,6.46,3666,Anna,Economy mean when into.,Chance have particular media hundred.
Paper ,4089, $39.96 ,7860,Luke,Yeah recently possible worker city his.,Note participant agent develop community.
Accessories ,8669,USD 124.25,9892,Benjamin,Second choice plan include.,Treat small think art important woman floor drop.
Binders ,8494,missing,3285,Jessica,Table throughout south bring.,Expect dinner catch black civil many.
Envelopes,6831,15.28,9218,Courtney,Will great heavy.,Well case if no.
appliances,8888,USD 48.36,9442,Joshua,One outside pay.,Institution modern especially.
Phones ,2408,USD 978.84,4069,Timothy,Game rate treat employee.,Care help who character yourself.
 Art ,7359,USD 66.03,9050,Martha,Public program apply film.,Then fact voice while culture.
Paper,4152, 83.88 ,6416,Cory,Four only around require evening.,Easy fall page one according too.
BOOKCASES,9906, 1227.9984 ,8782,Brittany,Simply present suddenly minute center.,Somebody decide already point story lead continue.
binders,8840, 3.762 ,7976,David,Drop great trouble.,Economic situation item will best.
STORAGE,7994,USD 509.49,8015,Roberta,Really dinner business edge always.,Skin big agreement exist change structure.
ART,5322,47.62,4613,Julie,Though Mr view early doctor similar.,Mention radio he.
Chairs,9650,113.37,6821,Jake,Each realize help executive quite.,Challenge program scientist.
Appliances ,6248,87.17,7176,Timothy,Language knowledge us study white.,Fish if ago government add bar full.
STORAGE,2553,563.40,1883,Antonio,Receive a history but.,Subject attorney entire eat view.
 Phones,3035, $21.99 ,923,Shari,Low call attorney guess.,Explain put interest.
Storage,3326,USD -45,5895,Jacob,Protect guy company produce you maybe.,Focus worry tax building local.
 Paper,4801,79.92,6681,Katie,Enjoy trouble buy real.,Write another color easy well much.
 Paper ,1084, $16.27 ,260,Deborah,Sister easy good send picture hope.,Heavy human one someone time southern let.
 Paper,4291, 12.96 ,9254,Nathan,My myself individual pick.,Onto language particular medical among white.
accessories,1956,USD 16.78,5934,Kimberly,Media type half sit do evening.,Kid skill management its ready fast evening.
 Binders,5168,USD 153.36,3684,Stuart,Cup day occur drug sure evening.,She body society activity assume trade.
 Binders,3562, $31.09 ,5252,Dennis,Power forget vote step.,Movie candidate situation after this.
 Paper,7664,16.06,200,Andrew,Radio beyond these care.,True usually industry country hold according one term.
furnishings,9891,USD 5.82,9009,Willie,Across over choose through.,Career government per keep rule account town.
Supplies ,1307,63.84,5143,Diane,Staff class paper level charge.,Believe front media contain support.
ENVELOPES,9342,unknown,4880,Joel,Yourself your method.,Degree third send up.
Tables ,5883, $801.96 ,3584,Jeffrey,Agency offer leg get.,Education bad research suffer real drive season.
Labels,2889,,5737,Jason,Market allow at billion often age.,Success in fill can ok around couple.
 Binders ,6709, 7.856 ,4761,Cameron,Six hand attorney alone Mrs goal.,Matter here be culture television.
paper,6219, 164.88 ,6694,Lindsay,Leg try think decision participant.,One light lead ability science.
ART,7930,USD 9.34,593,Randy,Check describe sort us again trade.,Morning well hold rise chance.
Binders,1287,32.96,95,Stacy,Really from difficult today far.,Join trial like rather eight black.
 Labels ,7547, $5.22 ,7028,Miranda,Often type maybe stay.,Newspaper rise only decision easy thought practice foot.
 Accessories,2467, 258.696 ,1219,Brian,Trade season hard power friend five.,Local attorney even against down.
 Binders,8868,7.22,9076,Heather,Seven mouth for keep main serious.,Away clearly expert.
appliances,4061,68.94,3323,Nicole,Administration small up.,Avoid specific task theory.
 Furnishings,6408,USD 141.42,8071,Danielle,Win a that star instead door.,Laugh trial center evidence section story wide.
 Furnishings ,9047,21.12,6032,Sarah,Lead worker agency general.,Garden nature this professional always door.
 Chairs,6846,350.98,2014,Samuel,Mrs after four safe.,Tell make challenge bill notice will.
furnishings,8499, 7.712 ,6205,Kenneth,Beat find society me.,Resource cause hot make world include Republican.
 Chairs,5065,"1,139.92",2841,Alexis,Let table management clear hospital.,Pick lot color data but everybody.
Paper ,5102,USD 39.96,9197,Aaron,Above deep key nation head.,Director four human in success.
 Art,3766,USD 12.67,7738,Julie,Away north some court little type.,Become teacher civil feeling teach that.
TABLES,3408,171.96,1559,Renee,Long during how court.,Sometimes interesting think building region.
Furnishings,2623,51.97,4690,Debra,Situation cell generation.,Subject education Republican special pattern.
LABELS,8697,2.61,3586,James,Food nice five body head like enjoy.,Morning computer choose hair.
 Furnishings ,8576,NULL,2382,Nicholas,Bad value half trip allow.,Successful one day notice actually.
binders,9071,93.34,5135,Michael,Research spend course hour tree year.,Different relate moment agreement war late send.
 Paper,6701,USD 10.37,1112,Evan,Service ready animal.,Lead hair notice report three behind short.
 Paper ,5292, $6.48 ,8330,Lindsey,State impact result begin wife take.,Part beautiful must pretty expert fine second.
paper,6647, 14.62 ,9441,Guy,Side else when entire meet.,Require response board my scene walk contain.
 Binders ,4601, $3.98 ,9657,Cassandra,Data rather before hotel.,Administration conference write forward rich.
MACHINES,8979, 3080.0 ,9299,Kristina,Choice particular close.,Only just ready dinner board kind.
 Binders ,1139, 12.096 ,7659,Brooke,Data speak budget letter tree you goal.,At language agency her always pretty.
Labels,4224, $58.48 ,6624,Jeffrey,Plant work meet say.,Data light happy surface leave still.
Furnishings ,8265,-50,3458,James,Both meet animal place guy now.,Forward per standard management door high.
binders,1101,USD 20.95,4087,Tami,Recognize Democrat reason war.,Field sing again education.
Art ,7624,2.62,292,Megan,Ask show base commercial work best.,Indeed region suddenly production.
 Accessories,9538,59.98,3569,John,Statement agreement become television.,Vote thing worker if friend floor thus computer.
 Binders ,7394,121.10,8624,Gerald,Why test suggest central.,Magazine someone answer already live actually have.
LABELS,6678, 61.06 ,4739,Daniel,Those gun bed leg significant.,Range actually traditional most party.
 Fasteners ,1259,USD 3.62,9702,Andrew,During more fast art cell hard.,Land develop today mouth finish.
ART,5139,USD 36.44,3797,Michelle,Admit until name wish.,Wife attention long that water back drive.
paper,3790, $21.98 ,5396,Rick,Recently year door condition.,Business soon bill article list common opportunity.
 Art,8518,89.86,931,Ricky,Rule common board day book.,Because fish resource field message discover when it.
labels,2063,23.68,1411,Patrick,Religious PM traditional style.,Argue music land provide.
 Appliances,6470, 208.44 ,7000,Keith,Low find alone get scientist issue.,Point detail set pick hard yard.
Chairs,7537,USD 638.29,5775,Aaron,Health ago environment personal ok.,Whole add yet find late.
 Appliances ,8787," $1,640.70 ",6839,Eric,Cost go eight tend.,Camera either fund accept them five.
PHONES,1994, 470.376 ,1877,Stephanie,Clearly medical evidence only.,Think sea friend success short realize.
Binders ,4358, 5.388 ,7192,Katherine,Condition argue impact then.,Research conference try first impact north enter improve.
 Storage,4802,375.34,3230,Gary,Leader personal down place character.,Call risk late material.
PAPER,2235, $65.58 ,7446,Beth,Rise compare often. Be law arm else.,Yourself light tax low laugh company seven develop.
 Chairs ,6507,USD 211.25,9791,Bryan,Teacher particularly idea worry any.,Site treatment beyond.
tables,3763, $215.15 ,3429,Angel,Heart well seven wrong.,Vote modern want car statement bad source case.
 Storage ,5411, $141.55 ,6283,James,Almost buy partner live early.,Weight outside think beat standard son own.
 Chairs,7583,USD 423.65,7904,Jennifer,Design indeed alone sell mention film.,Interview company lay same mean total.
Machines ,8015," $1,439.98 ",1834,Melissa,Her eye there black sort.,Treat choice different leave administration owner city.
FURNISHINGS,5862,17.46,7206,Timothy,Require accept state heart.,Black night likely sit seven.
Paper ,9486, $7.97 ,2529,Kevin,Entire true trade official break would.,It whose region go word great summer.
phones,8325, 5.94 ,5714,Bryan,Mother well free area politics.,Least at finish magazine condition.
SUPPLIES,6199,86.20,5453,Monica,Stay billion morning assume black.,Third prevent traditional matter western president garden.
Furnishings ,8680,USD 23.68,126,Susan,Poor big hundred then.,Company quite beat long.
chairs,4496,909.72,4495,Mary,Fight system somebody.,Wear either take I.
Furnishings ,2551,63.97,1237,Erin,Nature work especially foot.,Number the deep production moment find.
Tables ,9862,USD 1293.49,5682,Eugene,Fast peace trip compare.,Sea store weight true thought.
 Binders,8245,USD 29.00,3347,Donna,Know deal still suffer.,Rise production appear one.
BINDERS,6849,11.95,9181,Kimberly,Law across successful source less.,Late control doctor table.
Accessories,7022,89.97,8230,Earl,Sign need mean various system subject.,Idea skin prepare mind pretty.
Art ,3027,USD 6.41,1971,Veronica,Research state smile I move.,Perhaps machine boy specific north shake work.
