row_id,sub_category,sales,quantity,order_date
3,  Labels,14.62,2,6/12/2016
6,Furnishings,48.86,7,6/9/2014
7,Art,7.28,4,6/9/2014
8,Phones,907.152,6,6/9/2014
9,Binders,18.504,3,6/9/2014
10,  Appliances,114.9,5,6/9/2014
11,Tables,1706.184,9,6/9/2014
12,Phones,911.424,4,6/9/2014
14,Binders,407.976,3,12/5/2016
18,Storage,55.5,2,5/13/2014
19,Art,8.56,2,8/27/2014
20,Phones,213.48,3,8/27/2014
21,  Binders,22.72,4,8/27/2014
25,Tables,,3,9/25/2015
26,Binders,11.648,2,1/16/2016
27,Accessories,90.57,3,1/16/2016
43,Storage,77.88,2,7/17/2016
63,Accessories,13.98,2,11/24/2015
64,Binders,25.824,6,11/24/2015
65,Paper,146.73,3,11/24/2015
66,Furnishings,79.76,4,11/24/2015
68,Art,1113.024,8,12/5/2014
69,Phones,167.968,4,12/5/2014
82,Art,14.9,5,10/12/2014
83,Storage,21.39,1,10/12/2014
90,Art,20.1,3,9/17/2016
91,Phones,73.584,2,9/17/2016
92,Paper,6.48,1,9/17/2016
96,Binders,5.682,1,11/6/2017
98,Binders,51.312,3,6/17/2017
104,Accessories,238.896,6,11/13/2015
105,Furnishings,102.36,3,11/13/2015
106,Binders,36.882,3,11/13/2015
118,Tables,787.53,3,3/2/2015
127,Binders,2.388,2,11/5/2017
128,Storage,243.992,7,11/5/2017
129,Chairs,81.424,2,11/6/2016
130,Furnishings,238.56,3,11/6/2016
134,Paper,20.04,3,10/13/2016
135,Paper,35.44,1,10/13/2016
136,Art,11.52,4,10/13/2016
137,Fasteners,4.02,2,10/13/2016
138,Binders,76.176,3,10/13/2016
139,Supplies,65.88,6,10/13/2016
140,Furnishings,43.12,14,10/13/2016
142,Art,8.82,3,9/18/2017
143,Envelopes,10.86,3,9/18/2017
144,Paper,143.7,3,9/18/2017
146,Storage,671.93,7,9/7/2015
152,Appliances,157.92,5,3/13/2016
153,Phones,203.184,2,3/13/2016
154,Paper,58.38,7,5/31/2015
155,Paper,105.52,4,5/31/2015
156,Storage,80.88,6,5/31/2015
157,Art,6.63,3,5/28/2015
158,Chairs,457.568,2,3/1/2014
161,Paper,5.98,1,5/11/2016
163,Envelopes,28.4,5,11/16/2016
164,Binders,27.68,2,11/7/2016
172,Paper,20.94,3,8/5/2014
173,Paper,110.96,2,8/5/2014
174,Chairs,340.144,7,8/5/2014
187,Accessories,176.8,8,8/26/2014
195,Envelopes,14.28,7,10/31/2015
202,Tables,218.75,2,8/3/2014
203,Appliances,2.6,1,8/3/2014
206,Phones,444.768,4,12/9/2017
218,Storage,93.06,6,10/28/2016
219,Phones,302.376,3,10/28/2016
237,Paper,10.56,2,11/12/2017
250,Chairs,321.568,2,12/10/2016
251,Paper,7.61,1,9/11/2016
252,Accessories,3347.37,13,9/11/2016
266,Accessories,79.9,2,11/10/2015
271,Storage,725.84,4,12/28/2017
272,Accessories,209.93,7,7/30/2015
273,Furnishings,5.28,3,7/30/2015
274,Binders,10.92,3,7/30/2015
275,Paper,8.82,2,9/16/2017
276,Art,5.98,1,9/16/2017
283,Tables,1038.84,5,11/2/2015
284,Paper,141.76,5,9/26/2015
285,Accessories,239.8,5,9/26/2015
286,Paper,31.104,6,9/26/2015
294,Furnishings,300.416,8,12/26/2014
295,Chairs,230.352,3,12/26/2014
296,Furnishings,218.352,3,12/26/2014
297,Binders,,5,12/26/2014
298,Fasteners,27.552,3,12/26/2014
310,Furnishings,15.136,4,9/12/2016
311,Chairs,466.768,2,9/12/2016
312,Furnishings,15.232,1,9/12/2016
313,Labels,6.264,3,9/12/2016
323,Fasteners,7.16,2,9/19/2014
324,Binders,251.52,6,4/23/2016
325,Accessories,99.99,1,4/23/2016
335,Binders,4.752,1,9/1/2015
336,Copiers,959.984,2,9/1/2015
337,Binders,14.368,4,9/1/2015
338,Binders,7.712,2,7/12/2014
339,Tables,-44.67,3,7/12/2014
340,Fasteners,4.96,4,6/22/2015
346,Phones,47.976,3,6/15/2017
366,Storage,211.96,4,9/24/2014
373,Binders,8.16,5,7/23/2014
