sale_id,processed_by,shipping_comment,customer_notes,internal_code,subcategory,sales
4525,Steve,Commercial break company step.,Second ever child form.,6917,FURNISHINGS,-50
1821,Deanna,Happy brother yard interesting music.,So including name true cover challenge image stop.,3511,Appliances ,USD 92.06
644,Michelle,Plan wind each process yourself than.,Maintain artist plant sign boy.,5607,accessories, $132.52 
7081,Leah,Let whom few eight better.,Claim interesting single accept art.,4515, Tables , 472.518 
9838,Michael,Executive project even have him.,Head shoulder approach home girl.,2325,labels,29.60
2157,Barbara,Now cause at its.,Tax PM military yard.,2231, Storage,501.81
4540,Suzanne,Place opportunity age wife since meet.,Sense cup thing five.,2054,phones,USD 105.98
6672,Dustin,Office property wear college.,Matter by spring travel culture stage.,2356, Binders, 49.568 
1814,Russell,Subject result of.,Sea discover various material.,9343,FURNISHINGS, $4.66 
2351,Michelle,Idea his energy another much.,Ability focus hear save.,2460,paper,10.86
4909,Denise,Worry try world than.,Common image physical security article future piece expect.,2159,Phones,USD 9.59
2049,Sarah,Argue always determine nice.,Bring research seem your interest.,3803,FURNISHINGS,
1168,Nicole,Few key lose discuss painting.,Guy yes these.,4896,furnishings,109.48
2262,Erika,Speak Mrs build political civil.,Training six quite moment.,4370,ACCESSORIES,166.24
306,Charlotte,Plan term role star.,Weight sell positive certainly debate subject.,2831,Art,9.84
6020,Vanessa,Involve go west.,Seat stuff face son.,7643, Appliances , 91.92 
422,Rodney,Mission real management then wonder.,Significant true positive since pay effect so.,2724,Accessories, 196.752 
376,Tammy,Test term how. Entire right just.,Born age edge reflect.,1495, Accessories, 479.04 
1862,Alejandra,Their go lot success.,Particularly contain police involve.,9111,Phones ,119.96
6257,Alexander,Likely out truth next wait couple part.,War brother woman beat exactly our evidence.,2325, Binders ,3.44
2599,Stephen,Say always several reach clearly radio.,Soon personal more.,8379, Paper, $14.94 
1707,Nancy,Firm force class require.,Such mean very.,1386,Labels ,43.86
9317,Ebony,Next middle offer.,Human arrive there fly how low claim new.,3327,Supplies, $769.18 
5619,Sara,Word crime miss subject rate.,Walk Mr report trade trade mother.,6231,FURNISHINGS,64.96
7207,Heather,Group both sit daughter suffer.,Cause trade successful.,6835, Machines , 369.16 
9698,Robin,Grow carry suggest trial.,Prepare get drive bill radio seem situation.,4034, Furnishings , $30.34 
