sub_category,customer_notes,shipping_comment,processed_by,id,internal_code,usd_amount
Phones,Member positive chair long research son particular.,Think organization hear near.,Cynthia,8445,9530,68.24
Supplies ,So important administration improve here.,Art owner great even bar whether.,Charles,7273,2024,USD 20.61
Art,Into stage teacher who imagine.,Organization least response crime.,Elizabeth,1472,7786,6.85
paper,Government focus there agree go.,Buy really citizen science care.,Jennifer,8847,1796, $91.36 
furnishings,Employee main gas build image.,Attention lot me wait themselves.,Rachel,7239,1303,43.96
Storage ,Full nice everything test.,On picture first trip factor leave.,Taylor,5914,6179,unknown
 Binders ,Part so myself safe.,Without traditional effect report.,Matthew,3350,4101,15.71
Supplies,Act trouble trouble conference left.,Someone determine land beyond.,Crystal,8499,7594, $18.62 
 Chairs ,Edge sense against consumer recently.,Particular stop if me tonight group.,Chelsea,6031,6346,missing
Paper ,Though throw smile wear size yeah.,Less both treat use feel stuff however.,Cynthia,5559,2392, $6.48 
Paper,Dream where others city mention.,Full still have look lay quality.,Cesar,4407,5215, $9.08 
Chairs ,Range method book best.,Such floor plan with.,Claudia,24,4970, $71.37 
storage,Road support green research last way crime.,Walk yes benefit us.,Maria,5760,8970,481.32
 Paper ,Professional dog note again.,Crime alone soldier name.,Sarah,6858,3372,28.14
Furnishings,Event free system call fact inside school.,Cell down environment left drug.,Timothy,66,1912, 79.76 
Machines ,Woman voice begin religious push PM.,Face describe only voice us voice.,Scott,3425,2399, $558.40 
Bookcases,President police heavy fast develop.,Beautiful hair later adult body.,Jason,9185,4126, 579.136 
binders,Leave recent off training cover work.,Shoulder society behind.,Christopher,4797,2180,USD 57.58
 Phones,Finish hear never charge sister.,Your standard water room finish new.,Leonard,9328,6327,USD 455.71
Phones,Effect four three force.,Break form which audience machine meet.,Kyle,1817,4030,113.73
PAPER,Other market source live with three.,Note along whose president necessary.,Rachael,6170,7704, 13.36 
Art,Dream either level simple again within rock so.,Doctor thought lawyer effect.,Alicia,7314,2359,37.38
Fasteners,Performance industry sign.,East sign traditional remain hold.,Kathleen,1385,6150,USD 9.45
FURNISHINGS,Turn window wish pull.,Article body eye street.,Kelly,9555,9387,71.12
binders,State support information him bank this smile.,Game almost form it.,April,4998,8332, 13.092 
Phones ,Especially part evening write.,Whole common force provide.,Andrew,5065,2134, $391.98 
STORAGE,Their or your live necessary full least.,Music site people.,James,4461,6310,147.18
 Paper ,Blood above song far gas president.,Contain true subject wait go audience.,Curtis,6168,9142, 117.456 
binders,Rock fall wide.,College three during body rate per.,Melissa,7549,2526,USD 0.90
 Furnishings ,Start floor line skin only technology.,Once animal itself debate.,James,3854,1507, 4.95 
 Binders,Bring big television.,Authority know establish per cell.,Dennis,6630,9120, 7.38 
Storage,Effect end agent daughter well price house today.,These energy travel dog seek city.,Gabriel,757,1014, 24.56 
Paper ,Past foreign life.,Thousand south month cut.,Adrienne,8660,9584,USD 30.96
 Furnishings,Us hundred star girl around one eat.,A by sometimes wait.,Brooke,9448,9831,USD 477.30
 Binders,Hear need though.,Place sell miss foreign above very Mrs.,Alicia,5320,5253,27.36
 Envelopes,Congress even of sometimes improve wait.,Gas civil Mrs.,John,9884,4688,USD 11.16
storage,Analysis local herself if green.,Common remember party control cover.,Russell,8085,5348,718.64
Accessories,Degree many election mention anyone various.,Time item pay bad.,Madison,4262,1747,63.96
