processed_by,revenue,internal_code,customer_notes,sale_id,shipping_comment,subcategory
Michael, 56.3 ,1379,Hear what evening professor.,6361,Operation option national mission., Art 
Daniel,USD 205.33,8173,Indeed market among experience why condition.,469,Hair board skill car great want.,Bookcases 
Joyce, 43.188 ,8770,Adult military believe half exactly feel down.,606,Than physical series may.,Binders
Rebecca, 11.648 ,6529,Ahead the officer hit.,5657,Store office test boy., Paper 
Megan," $3,404.50 ",2817,Likely act station structure executive.,7915,Eye upon change prepare military black.,MACHINES
Emily,"1,502.38",3675,Population them stage win ask couple.,5017,Instead firm lay heart., Phones
Kenneth,USD 31.12,2633,Wide land plan his center.,9401,While step little teach yard suffer., Envelopes 
Jill,470.38,4944,Huge admit huge.,1877,Office then enjoy month present hope.,Phones
George,55.99,2969,Require realize task accept international.,1556,Pass exist base body plant.,PHONES
Raven, 58.08 ,6020,Soon me training ago about season.,4788,Chance quickly house line cultural.,Accessories 
Matthew,26.40,1387,Interesting save important.,3855,Style wrong night modern.,Storage 
Kyle,USD 90.99,9582,Fund animal area action ten laugh.,2941,Public five design respond television.,Chairs
Scott, $17.48 ,9018,Trouble happy dog method above guess.,2447,Perform huge sit., Envelopes
Kristen,44.75,7141,Physical experience miss half education threat road.,6125,Mother store take or true.,Accessories
Michael,USD 629.95,1204,Close assume drop hospital house most.,6469,Wish war safe physical sound.,Phones 
Kim,1.34,5626,Writer factor technology newspaper concern.,2428,Few require include me rise time., Binders 
Christopher,,7240,Grow include author service pretty experience determine.,8819,Foreign firm sound say development.,Paper
Maria,363.92,4372,Vote gas mother wish many.,7055,Become those charge.,chairs
Kayla,39.00,3964,Several race president name change pattern material.,5398,Wait forward doctor federal.,appliances
Kenneth,USD 108.61,6828,Involve together minute store late.,2217,Fill nothing weight adult., Chairs
Seth,275.88,1570,Human write rich hospital purpose above street Mrs.,7155,News candidate three fact here.,Furnishings
David,USD 1287.45,3312,Protect all other leave page cover option American.,8587,True finally ok certainly one.,Accessories 
Michael, $11.54 ,2963,Bar against old wind floor purpose.,3713,Because from important key industry., Accessories
Melissa,14.28,6479,Line office guess local white reflect.,303,Must community relationship word.,Binders 
Jessica, $16.56 ,3052,Our energy above air painting east.,8818,Method want future game.,Envelopes
Melissa,21.38,9774,His where stay toward begin activity you.,1514,Attorney relationship style.,Binders 
Michael, 99.846 ,7775,Special food main can affect recognize.,5673,Reflect whole military.,BINDERS
Melissa, 40.05 ,9036,State service image because.,1495,Area stock establish television upon.,Art 
Donna, $405.64 ,7104,Inside modern less need house nearly.,2065,Push agent suffer tonight really., Storage
Daniel,1022.97,1159,Sometimes check shake clear yeah force office.,3045,Glass message recent.,phones
Lisa, 51.712 ,8236,What room interesting early start represent.,2557,Recently plan magazine American true.,Furnishings
Phillip, 1126.02 ,6792,Usually of threat.,519,Some morning receive others wear., Storage 
Emma,8.00,6914,Threat chair feel sometimes treat grow ground must.,5583,Rather general recently cup.,ART
John,167.29,6462,Big can short position.,2212,Five today crime Congress occur.,APPLIANCES
Matthew,USD 27.38,5231,Coach person star chair.,4437,In politics stage enter pass guess., Art 
Stacey,USD 60.31,6073,Letter nearly product large worry avoid.,3252,Coach arm nothing begin also story.,FURNISHINGS
Jade,,5934,Hard fast left drive answer ground.,9854,Ground kitchen financial nor current., Furnishings 
Matthew,error,1293,While operation some half.,8729,Beyond suffer upon amount these.,Bookcases 
Deborah, 31.56 ,1716,Home that door.,4556,General to loss result.,FASTENERS
Thomas, $184.75 ,1072,Nice meet like focus.,9352,Parent school agreement risk everybody.,CHAIRS
Alexander, $128.06 ,2186,Where friend create happy daughter never necessary.,4471,Field down carry thus radio recent buy., Chairs
Lucas, $146.73 ,9882,Product ball particular understand usually weight ahead.,65,Fine home act hand build.,paper
Rebecca,13.96,5731,Wish sit sometimes role.,4108,Form week no hand visit upon., Storage 
Matthew,USD 11.62,8153,Religious company career might long pattern step.,3536,Month part father go big teach idea.,Fasteners 
Sarah, $99.90 ,1415,Appear interesting million whom.,4527,Worry chance very others range., Paper 
Alyssa,USD 139.96,1110,How draw state performance.,9026,Every final want significant source., Accessories 
Debra,USD 363.65,3985,Next old defense build mention beat drop.,1426,Detail yard in.,Storage
Steven,USD 16.68,5701,Another down fast family food fine.,2582,Officer fire court focus., Paper 
Julie,USD 55.92,2586,Camera hot son.,2830,Natural design speak institution.,Storage
Tracy,1123.92,1832,Area company mind Republican news.,3119,Stand certain pay.,chairs
Shelly,USD 2.69,6740,Relate professional huge nation whatever billion animal.,5153,Pressure group same what ahead.,Binders 
Christopher,USD 12.56,1679,Put why game science between green family.,9851,Various south thousand machine its hot., Furnishings 
Caroline,17.94,3569,Court respond special term.,6065,Throughout group base power radio., Paper
Wendy,384.94,6272,Follow surface area report tend above.,4384,Full four plan foot of themselves.,Bookcases
Jonathan, 25.92 ,6985,Federal teacher without serious senior case recently.,2554,State great all mean plan despite., Paper 
Rodney,USD 14.91,6480,Pick including phone best voice either her.,9918,Concern hair subject., Furnishings
Daniel,159.80,3369,Success arm again water official kid relate return.,9865,Mouth heavy knowledge hear data beyond., Accessories
Shawn, 979.95 ,6917,Near better lawyer politics including dinner red.,4043,Increase something race.,Phones 
Robert,5.78,2877,Player change five federal.,419,Hard dark beyond.,paper
